dataset,split,sequence,frame_gap,total_frames,exported_pair_count,total_middle_frames,total_anchor_mib,avg_anchor_mib_per_pair,heavy_root
DAVIS,val,car-shadow,16,40,3,36,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,cows,16,104,7,96,12.796875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,dance-twirl,16,90,6,83,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,dog,16,60,4,55,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,dogs-jump,16,66,5,60,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,drift-chicane,16,52,4,47,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,drift-straight,16,50,4,45,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,goat,16,90,6,83,10.96875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,gold-fish,16,78,5,72,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,horsejump-high,16,50,4,45,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,india,16,81,5,75,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,judo,16,34,3,30,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,kite-surf,16,50,4,45,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,lab-coat,16,47,3,43,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,libby,16,49,3,45,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,loading,16,50,4,45,7.3125,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,mbike-trick,16,79,5,73,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,motocross-jump,16,40,3,36,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,paragliding-launch,16,80,5,74,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,parkour,16,100,7,92,12.796875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,pigs,16,79,5,73,9.140625,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,scooter-black,16,43,3,39,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,shooting,16,40,3,36,5.484375,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
DAVIS,val,soapbox,16,99,7,91,12.796875,1.828125,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export
