dataset,split,sequence,frame_gap,left_index,right_index,segment_length,middle_frame_count,dataset_item,dataset_item_relative,anchor_mib,gaussians_per_anchor
DAVIS,train,breakdance-flare,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/breakdance-flare/gap16/pair_000032_000048.pt,DAVIS/train/breakdance-flare/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,breakdance-flare,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/breakdance-flare/gap16/pair_000048_000064.pt,DAVIS/train/breakdance-flare/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,bus,16,64,79,15,14,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bus/gap16/pair_000064_000079.pt,DAVIS/train/bus/gap16/pair_000064_000079.pt,1.828125,36864
DAVIS,train,bus,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bus/gap16/pair_000000_000016.pt,DAVIS/train/bus/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,bus,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bus/gap16/pair_000016_000032.pt,DAVIS/train/bus/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,bus,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bus/gap16/pair_000032_000048.pt,DAVIS/train/bus/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,bus,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/bus/gap16/pair_000048_000064.pt,DAVIS/train/bus/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,car-turn,16,64,79,15,14,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/car-turn/gap16/pair_000064_000079.pt,DAVIS/train/car-turn/gap16/pair_000064_000079.pt,1.828125,36864
DAVIS,train,car-turn,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/car-turn/gap16/pair_000000_000016.pt,DAVIS/train/car-turn/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,car-turn,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/car-turn/gap16/pair_000016_000032.pt,DAVIS/train/car-turn/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,car-turn,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/car-turn/gap16/pair_000032_000048.pt,DAVIS/train/car-turn/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,car-turn,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/car-turn/gap16/pair_000048_000064.pt,DAVIS/train/car-turn/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,cat-girl,16,80,88,8,7,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/cat-girl/gap16/pair_000080_000088.pt,DAVIS/train/cat-girl/gap16/pair_000080_000088.pt,1.828125,36864
DAVIS,train,cat-girl,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/cat-girl/gap16/pair_000000_000016.pt,DAVIS/train/cat-girl/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,cat-girl,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/cat-girl/gap16/pair_000016_000032.pt,DAVIS/train/cat-girl/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,cat-girl,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/cat-girl/gap16/pair_000032_000048.pt,DAVIS/train/cat-girl/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,cat-girl,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/cat-girl/gap16/pair_000048_000064.pt,DAVIS/train/cat-girl/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,cat-girl,16,64,80,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/cat-girl/gap16/pair_000064_000080.pt,DAVIS/train/cat-girl/gap16/pair_000064_000080.pt,1.828125,36864
DAVIS,train,classic-car,16,48,62,14,13,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/classic-car/gap16/pair_000048_000062.pt,DAVIS/train/classic-car/gap16/pair_000048_000062.pt,1.828125,36864
DAVIS,train,classic-car,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/classic-car/gap16/pair_000000_000016.pt,DAVIS/train/classic-car/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,classic-car,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/classic-car/gap16/pair_000016_000032.pt,DAVIS/train/classic-car/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,classic-car,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/classic-car/gap16/pair_000032_000048.pt,DAVIS/train/classic-car/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,color-run,16,80,83,3,2,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/color-run/gap16/pair_000080_000083.pt,DAVIS/train/color-run/gap16/pair_000080_000083.pt,1.828125,36864
DAVIS,train,color-run,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/color-run/gap16/pair_000000_000016.pt,DAVIS/train/color-run/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,color-run,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/color-run/gap16/pair_000016_000032.pt,DAVIS/train/color-run/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,color-run,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/color-run/gap16/pair_000032_000048.pt,DAVIS/train/color-run/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,color-run,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/color-run/gap16/pair_000048_000064.pt,DAVIS/train/color-run/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,color-run,16,64,80,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/color-run/gap16/pair_000064_000080.pt,DAVIS/train/color-run/gap16/pair_000064_000080.pt,1.828125,36864
DAVIS,train,crossing,16,48,51,3,2,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/crossing/gap16/pair_000048_000051.pt,DAVIS/train/crossing/gap16/pair_000048_000051.pt,1.828125,36864
DAVIS,train,crossing,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/crossing/gap16/pair_000000_000016.pt,DAVIS/train/crossing/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,crossing,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/crossing/gap16/pair_000016_000032.pt,DAVIS/train/crossing/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,crossing,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/crossing/gap16/pair_000032_000048.pt,DAVIS/train/crossing/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,dance-jump,16,48,59,11,10,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dance-jump/gap16/pair_000048_000059.pt,DAVIS/train/dance-jump/gap16/pair_000048_000059.pt,1.828125,36864
DAVIS,train,dance-jump,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dance-jump/gap16/pair_000000_000016.pt,DAVIS/train/dance-jump/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,dance-jump,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dance-jump/gap16/pair_000016_000032.pt,DAVIS/train/dance-jump/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,dance-jump,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dance-jump/gap16/pair_000032_000048.pt,DAVIS/train/dance-jump/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,dancing,16,48,61,13,12,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dancing/gap16/pair_000048_000061.pt,DAVIS/train/dancing/gap16/pair_000048_000061.pt,1.828125,36864
DAVIS,train,dancing,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dancing/gap16/pair_000000_000016.pt,DAVIS/train/dancing/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,dancing,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dancing/gap16/pair_000016_000032.pt,DAVIS/train/dancing/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,dancing,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dancing/gap16/pair_000032_000048.pt,DAVIS/train/dancing/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,disc-jockey,16,64,75,11,10,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/disc-jockey/gap16/pair_000064_000075.pt,DAVIS/train/disc-jockey/gap16/pair_000064_000075.pt,1.828125,36864
DAVIS,train,disc-jockey,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/disc-jockey/gap16/pair_000000_000016.pt,DAVIS/train/disc-jockey/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,disc-jockey,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/disc-jockey/gap16/pair_000016_000032.pt,DAVIS/train/disc-jockey/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,disc-jockey,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/disc-jockey/gap16/pair_000032_000048.pt,DAVIS/train/disc-jockey/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,disc-jockey,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/disc-jockey/gap16/pair_000048_000064.pt,DAVIS/train/disc-jockey/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,dog-agility,16,16,24,8,7,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dog-agility/gap16/pair_000016_000024.pt,DAVIS/train/dog-agility/gap16/pair_000016_000024.pt,1.828125,36864
DAVIS,train,dog-agility,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dog-agility/gap16/pair_000000_000016.pt,DAVIS/train/dog-agility/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,dog-gooses,16,80,85,5,4,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dog-gooses/gap16/pair_000080_000085.pt,DAVIS/train/dog-gooses/gap16/pair_000080_000085.pt,1.828125,36864
DAVIS,train,dog-gooses,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dog-gooses/gap16/pair_000000_000016.pt,DAVIS/train/dog-gooses/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,dog-gooses,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dog-gooses/gap16/pair_000016_000032.pt,DAVIS/train/dog-gooses/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,dog-gooses,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dog-gooses/gap16/pair_000032_000048.pt,DAVIS/train/dog-gooses/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,dog-gooses,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dog-gooses/gap16/pair_000048_000064.pt,DAVIS/train/dog-gooses/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,dog-gooses,16,64,80,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dog-gooses/gap16/pair_000064_000080.pt,DAVIS/train/dog-gooses/gap16/pair_000064_000080.pt,1.828125,36864
DAVIS,train,dogs-scale,16,80,82,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dogs-scale/gap16/pair_000080_000082.pt,DAVIS/train/dogs-scale/gap16/pair_000080_000082.pt,1.828125,36864
DAVIS,train,dogs-scale,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dogs-scale/gap16/pair_000000_000016.pt,DAVIS/train/dogs-scale/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,dogs-scale,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dogs-scale/gap16/pair_000016_000032.pt,DAVIS/train/dogs-scale/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,dogs-scale,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dogs-scale/gap16/pair_000032_000048.pt,DAVIS/train/dogs-scale/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,dogs-scale,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dogs-scale/gap16/pair_000048_000064.pt,DAVIS/train/dogs-scale/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,dogs-scale,16,64,80,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/dogs-scale/gap16/pair_000064_000080.pt,DAVIS/train/dogs-scale/gap16/pair_000064_000080.pt,1.828125,36864
DAVIS,train,drift-turn,16,48,63,15,14,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drift-turn/gap16/pair_000048_000063.pt,DAVIS/train/drift-turn/gap16/pair_000048_000063.pt,1.828125,36864
DAVIS,train,drift-turn,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drift-turn/gap16/pair_000000_000016.pt,DAVIS/train/drift-turn/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,drift-turn,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drift-turn/gap16/pair_000016_000032.pt,DAVIS/train/drift-turn/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,drift-turn,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drift-turn/gap16/pair_000032_000048.pt,DAVIS/train/drift-turn/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,drone,16,80,90,10,9,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drone/gap16/pair_000080_000090.pt,DAVIS/train/drone/gap16/pair_000080_000090.pt,1.828125,36864
DAVIS,train,drone,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drone/gap16/pair_000000_000016.pt,DAVIS/train/drone/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,drone,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drone/gap16/pair_000016_000032.pt,DAVIS/train/drone/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,drone,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drone/gap16/pair_000032_000048.pt,DAVIS/train/drone/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,drone,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drone/gap16/pair_000048_000064.pt,DAVIS/train/drone/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,drone,16,64,80,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/drone/gap16/pair_000064_000080.pt,DAVIS/train/drone/gap16/pair_000064_000080.pt,1.828125,36864
DAVIS,train,elephant,16,64,79,15,14,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/elephant/gap16/pair_000064_000079.pt,DAVIS/train/elephant/gap16/pair_000064_000079.pt,1.828125,36864
DAVIS,train,elephant,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/elephant/gap16/pair_000000_000016.pt,DAVIS/train/elephant/gap16/pair_000000_000016.pt,1.828125,36864
DAVIS,train,elephant,16,16,32,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/elephant/gap16/pair_000016_000032.pt,DAVIS/train/elephant/gap16/pair_000016_000032.pt,1.828125,36864
DAVIS,train,elephant,16,32,48,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/elephant/gap16/pair_000032_000048.pt,DAVIS/train/elephant/gap16/pair_000032_000048.pt,1.828125,36864
DAVIS,train,elephant,16,48,64,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/elephant/gap16/pair_000048_000064.pt,DAVIS/train/elephant/gap16/pair_000048_000064.pt,1.828125,36864
DAVIS,train,flamingo,16,64,79,15,14,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/flamingo/gap16/pair_000064_000079.pt,DAVIS/train/flamingo/gap16/pair_000064_000079.pt,1.828125,36864
DAVIS,train,flamingo,16,0,16,16,15,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export/DAVIS/train/flamingo/gap16/pair_000000_000016.pt,DAVIS/train/flamingo/gap16/pair_000000_000016.pt,1.828125,36864
