measurement_scope,measurement_key,schedule,sequence,frame_index,left_index,right_index,segment_length
payload_single_keyframe,keyframe::breakdance:00066,uniform_gap6,breakdance,66,66,66,0
payload_single_keyframe,keyframe::breakdance:00070,uniform_gap2,breakdance,70,70,70,0
payload_single_keyframe,keyframe::breakdance:00074,uniform_gap2,breakdance,74,74,74,0
payload_single_keyframe,keyframe::breakdance:00078,uniform_gap6,breakdance,78,78,78,0
payload_single_keyframe,keyframe::breakdance:00082,uniform_gap2,breakdance,82,82,82,0
payload_single_keyframe,keyframe::camel:00002,uniform_gap2,camel,2,2,2,0
payload_single_keyframe,keyframe::camel:00006,uniform_gap6,camel,6,6,6,0
payload_single_keyframe,keyframe::camel:00010,uniform_gap2,camel,10,10,10,0
payload_single_keyframe,keyframe::camel:00014,uniform_gap2,camel,14,14,14,0
payload_single_keyframe,keyframe::camel:00018,uniform_gap6,camel,18,18,18,0
payload_single_keyframe,keyframe::camel:00022,uniform_gap2,camel,22,22,22,0
payload_single_keyframe,keyframe::camel:00026,uniform_gap2,camel,26,26,26,0
payload_single_keyframe,keyframe::camel:00030,uniform_gap6,camel,30,30,30,0
payload_single_keyframe,keyframe::camel:00034,uniform_gap2,camel,34,34,34,0
payload_single_keyframe,keyframe::camel:00038,uniform_gap2,camel,38,38,38,0
payload_single_keyframe,keyframe::camel:00042,uniform_gap6,camel,42,42,42,0
payload_single_keyframe,keyframe::camel:00046,uniform_gap2,camel,46,46,46,0
payload_single_keyframe,keyframe::camel:00050,uniform_gap2,camel,50,50,50,0
payload_single_keyframe,keyframe::camel:00054,uniform_gap6,camel,54,54,54,0
payload_single_keyframe,keyframe::camel:00058,uniform_gap2,camel,58,58,58,0
payload_single_keyframe,keyframe::camel:00062,uniform_gap2,camel,62,62,62,0
payload_single_keyframe,keyframe::camel:00066,uniform_gap6,camel,66,66,66,0
payload_single_keyframe,keyframe::camel:00070,uniform_gap2,camel,70,70,70,0
payload_single_keyframe,keyframe::camel:00074,uniform_gap2,camel,74,74,74,0
payload_single_keyframe,keyframe::camel:00078,uniform_gap6,camel,78,78,78,0
payload_single_keyframe,keyframe::camel:00082,uniform_gap2,camel,82,82,82,0
payload_single_keyframe,keyframe::camel:00086,uniform_gap2,camel,86,86,86,0
payload_single_keyframe,keyframe::car-roundabout:00002,uniform_gap2,car-roundabout,2,2,2,0
payload_single_keyframe,keyframe::car-roundabout:00006,uniform_gap6,car-roundabout,6,6,6,0
payload_single_keyframe,keyframe::car-roundabout:00010,uniform_gap2,car-roundabout,10,10,10,0
payload_single_keyframe,keyframe::car-roundabout:00014,uniform_gap2,car-roundabout,14,14,14,0
payload_single_keyframe,keyframe::car-roundabout:00018,uniform_gap6,car-roundabout,18,18,18,0
payload_single_keyframe,keyframe::car-roundabout:00022,uniform_gap2,car-roundabout,22,22,22,0
payload_single_keyframe,keyframe::car-roundabout:00026,uniform_gap2,car-roundabout,26,26,26,0
payload_single_keyframe,keyframe::car-roundabout:00030,uniform_gap6,car-roundabout,30,30,30,0
payload_single_keyframe,keyframe::car-roundabout:00034,uniform_gap2,car-roundabout,34,34,34,0
payload_single_keyframe,keyframe::car-roundabout:00038,uniform_gap2,car-roundabout,38,38,38,0
payload_single_keyframe,keyframe::car-roundabout:00042,uniform_gap6,car-roundabout,42,42,42,0
payload_single_keyframe,keyframe::car-roundabout:00046,uniform_gap2,car-roundabout,46,46,46,0
payload_single_keyframe,keyframe::car-roundabout:00050,uniform_gap2,car-roundabout,50,50,50,0
payload_single_keyframe,keyframe::car-roundabout:00054,uniform_gap6,car-roundabout,54,54,54,0
payload_single_keyframe,keyframe::car-roundabout:00058,uniform_gap2,car-roundabout,58,58,58,0
payload_single_keyframe,keyframe::car-roundabout:00062,uniform_gap2,car-roundabout,62,62,62,0
payload_single_keyframe,keyframe::car-roundabout:00066,uniform_gap6,car-roundabout,66,66,66,0
payload_single_keyframe,keyframe::car-roundabout:00070,uniform_gap2,car-roundabout,70,70,70,0
payload_single_keyframe,keyframe::car-shadow:00002,uniform_gap2,car-shadow,2,2,2,0
payload_single_keyframe,keyframe::car-shadow:00006,uniform_gap6,car-shadow,6,6,6,0
payload_single_keyframe,keyframe::car-shadow:00014,uniform_gap2,car-shadow,14,14,14,0
payload_single_keyframe,keyframe::car-shadow:00018,uniform_gap6,car-shadow,18,18,18,0
payload_single_keyframe,keyframe::car-shadow:00022,uniform_gap2,car-shadow,22,22,22,0
payload_single_keyframe,keyframe::car-shadow:00026,uniform_gap2,car-shadow,26,26,26,0
payload_single_keyframe,keyframe::car-shadow:00030,uniform_gap6,car-shadow,30,30,30,0
payload_single_keyframe,keyframe::car-shadow:00034,uniform_gap2,car-shadow,34,34,34,0
payload_single_keyframe,keyframe::car-shadow:00038,uniform_gap2,car-shadow,38,38,38,0
payload_single_keyframe,keyframe::cows:00002,uniform_gap2,cows,2,2,2,0
payload_single_keyframe,keyframe::cows:00006,uniform_gap6,cows,6,6,6,0
payload_single_keyframe,keyframe::cows:00010,uniform_gap2,cows,10,10,10,0
payload_single_keyframe,keyframe::cows:00014,uniform_gap2,cows,14,14,14,0
payload_single_keyframe,keyframe::cows:00018,uniform_gap6,cows,18,18,18,0
payload_single_keyframe,keyframe::cows:00022,uniform_gap2,cows,22,22,22,0
payload_single_keyframe,keyframe::cows:00026,uniform_gap2,cows,26,26,26,0
payload_single_keyframe,keyframe::cows:00030,uniform_gap6,cows,30,30,30,0
payload_single_keyframe,keyframe::cows:00034,uniform_gap2,cows,34,34,34,0
payload_single_keyframe,keyframe::cows:00038,uniform_gap2,cows,38,38,38,0
payload_single_keyframe,keyframe::cows:00046,uniform_gap2,cows,46,46,46,0
payload_single_keyframe,keyframe::cows:00050,uniform_gap2,cows,50,50,50,0
payload_single_keyframe,keyframe::cows:00054,uniform_gap6,cows,54,54,54,0
payload_single_keyframe,keyframe::cows:00058,uniform_gap2,cows,58,58,58,0
payload_single_keyframe,keyframe::cows:00062,uniform_gap2,cows,62,62,62,0
payload_single_keyframe,keyframe::cows:00066,uniform_gap6,cows,66,66,66,0
payload_single_keyframe,keyframe::cows:00070,uniform_gap2,cows,70,70,70,0
payload_single_keyframe,keyframe::cows:00074,uniform_gap2,cows,74,74,74,0
payload_single_keyframe,keyframe::cows:00078,uniform_gap6,cows,78,78,78,0
payload_single_keyframe,keyframe::cows:00082,uniform_gap2,cows,82,82,82,0
payload_single_keyframe,keyframe::cows:00086,uniform_gap2,cows,86,86,86,0
payload_single_keyframe,keyframe::cows:00090,uniform_gap6,cows,90,90,90,0
payload_single_keyframe,keyframe::cows:00094,uniform_gap2,cows,94,94,94,0
payload_single_keyframe,keyframe::cows:00098,uniform_gap2,cows,98,98,98,0
payload_single_keyframe,keyframe::cows:00102,uniform_gap6,cows,102,102,102,0
payload_single_keyframe,keyframe::dance-twirl:00002,uniform_gap2,dance-twirl,2,2,2,0
payload_single_keyframe,keyframe::dance-twirl:00006,uniform_gap6,dance-twirl,6,6,6,0
payload_single_keyframe,keyframe::dance-twirl:00010,uniform_gap2,dance-twirl,10,10,10,0
payload_single_keyframe,keyframe::dance-twirl:00014,uniform_gap2,dance-twirl,14,14,14,0
payload_single_keyframe,keyframe::dance-twirl:00018,uniform_gap6,dance-twirl,18,18,18,0
payload_single_keyframe,keyframe::dance-twirl:00022,uniform_gap2,dance-twirl,22,22,22,0
payload_single_keyframe,keyframe::dance-twirl:00026,uniform_gap2,dance-twirl,26,26,26,0
payload_single_keyframe,keyframe::dance-twirl:00030,uniform_gap6,dance-twirl,30,30,30,0
payload_single_keyframe,keyframe::dance-twirl:00034,uniform_gap2,dance-twirl,34,34,34,0
payload_single_keyframe,keyframe::dance-twirl:00038,uniform_gap2,dance-twirl,38,38,38,0
payload_single_keyframe,keyframe::dance-twirl:00042,uniform_gap6,dance-twirl,42,42,42,0
payload_single_keyframe,keyframe::dance-twirl:00046,uniform_gap2,dance-twirl,46,46,46,0
payload_single_keyframe,keyframe::dance-twirl:00050,uniform_gap2,dance-twirl,50,50,50,0
payload_single_keyframe,keyframe::dance-twirl:00054,uniform_gap6,dance-twirl,54,54,54,0
payload_single_keyframe,keyframe::dance-twirl:00058,uniform_gap2,dance-twirl,58,58,58,0
payload_single_keyframe,keyframe::dance-twirl:00062,uniform_gap2,dance-twirl,62,62,62,0
payload_single_keyframe,keyframe::dance-twirl:00066,uniform_gap6,dance-twirl,66,66,66,0
payload_single_keyframe,keyframe::dance-twirl:00070,uniform_gap2,dance-twirl,70,70,70,0
payload_single_keyframe,keyframe::dance-twirl:00074,uniform_gap2,dance-twirl,74,74,74,0
payload_single_keyframe,keyframe::dance-twirl:00078,uniform_gap6,dance-twirl,78,78,78,0
payload_single_keyframe,keyframe::dance-twirl:00086,uniform_gap2,dance-twirl,86,86,86,0
payload_single_keyframe,keyframe::dog:00002,uniform_gap2,dog,2,2,2,0
payload_single_keyframe,keyframe::dog:00006,uniform_gap6,dog,6,6,6,0
payload_single_keyframe,keyframe::dog:00010,uniform_gap2,dog,10,10,10,0
payload_single_keyframe,keyframe::dog:00014,uniform_gap2,dog,14,14,14,0
payload_single_keyframe,keyframe::dog:00018,uniform_gap6,dog,18,18,18,0
payload_single_keyframe,keyframe::dog:00022,uniform_gap2,dog,22,22,22,0
payload_single_keyframe,keyframe::dog:00026,uniform_gap2,dog,26,26,26,0
payload_single_keyframe,keyframe::dog:00030,uniform_gap6,dog,30,30,30,0
payload_single_keyframe,keyframe::dog:00034,uniform_gap2,dog,34,34,34,0
payload_single_keyframe,keyframe::dog:00038,uniform_gap2,dog,38,38,38,0
payload_single_keyframe,keyframe::dog:00046,uniform_gap2,dog,46,46,46,0
payload_single_keyframe,keyframe::dog:00050,uniform_gap2,dog,50,50,50,0
payload_single_keyframe,keyframe::dog:00054,uniform_gap6,dog,54,54,54,0
payload_single_keyframe,keyframe::dog:00058,uniform_gap2,dog,58,58,58,0
payload_single_keyframe,keyframe::dogs-jump:00002,uniform_gap2,dogs-jump,2,2,2,0
payload_single_keyframe,keyframe::dogs-jump:00006,uniform_gap6,dogs-jump,6,6,6,0
payload_single_keyframe,keyframe::dogs-jump:00014,uniform_gap2,dogs-jump,14,14,14,0
payload_single_keyframe,keyframe::dogs-jump:00018,uniform_gap6,dogs-jump,18,18,18,0
payload_single_keyframe,keyframe::dogs-jump:00022,uniform_gap2,dogs-jump,22,22,22,0
payload_single_keyframe,keyframe::dogs-jump:00026,uniform_gap2,dogs-jump,26,26,26,0
payload_single_keyframe,keyframe::dogs-jump:00030,uniform_gap6,dogs-jump,30,30,30,0
payload_single_keyframe,keyframe::dogs-jump:00034,uniform_gap2,dogs-jump,34,34,34,0
payload_single_keyframe,keyframe::dogs-jump:00038,uniform_gap2,dogs-jump,38,38,38,0
payload_single_keyframe,keyframe::dogs-jump:00042,uniform_gap6,dogs-jump,42,42,42,0
payload_single_keyframe,keyframe::dogs-jump:00046,uniform_gap2,dogs-jump,46,46,46,0
payload_single_keyframe,keyframe::dogs-jump:00050,uniform_gap2,dogs-jump,50,50,50,0
payload_single_keyframe,keyframe::dogs-jump:00054,uniform_gap6,dogs-jump,54,54,54,0
payload_single_keyframe,keyframe::dogs-jump:00058,uniform_gap2,dogs-jump,58,58,58,0
payload_single_keyframe,keyframe::dogs-jump:00062,uniform_gap2,dogs-jump,62,62,62,0
payload_single_keyframe,keyframe::drift-chicane:00002,uniform_gap2,drift-chicane,2,2,2,0
payload_single_keyframe,keyframe::drift-chicane:00010,uniform_gap2,drift-chicane,10,10,10,0
payload_single_keyframe,keyframe::drift-chicane:00014,uniform_gap2,drift-chicane,14,14,14,0
payload_single_keyframe,keyframe::drift-chicane:00018,uniform_gap6,drift-chicane,18,18,18,0
payload_single_keyframe,keyframe::drift-chicane:00022,uniform_gap2,drift-chicane,22,22,22,0
payload_single_keyframe,keyframe::drift-chicane:00026,uniform_gap2,drift-chicane,26,26,26,0
payload_single_keyframe,keyframe::drift-chicane:00030,uniform_gap6,drift-chicane,30,30,30,0
payload_single_keyframe,keyframe::drift-chicane:00034,uniform_gap2,drift-chicane,34,34,34,0
payload_single_keyframe,keyframe::drift-chicane:00038,uniform_gap2,drift-chicane,38,38,38,0
payload_single_keyframe,keyframe::drift-chicane:00042,uniform_gap6,drift-chicane,42,42,42,0
payload_single_keyframe,keyframe::drift-chicane:00046,uniform_gap2,drift-chicane,46,46,46,0
payload_single_keyframe,keyframe::drift-chicane:00050,uniform_gap2,drift-chicane,50,50,50,0
payload_single_keyframe,keyframe::drift-straight:00006,uniform_gap6,drift-straight,6,6,6,0
payload_single_keyframe,keyframe::drift-straight:00010,uniform_gap2,drift-straight,10,10,10,0
payload_single_keyframe,keyframe::drift-straight:00014,uniform_gap2,drift-straight,14,14,14,0
payload_single_keyframe,keyframe::drift-straight:00018,uniform_gap6,drift-straight,18,18,18,0
payload_single_keyframe,keyframe::drift-straight:00022,uniform_gap2,drift-straight,22,22,22,0
payload_single_keyframe,keyframe::drift-straight:00026,uniform_gap2,drift-straight,26,26,26,0
payload_single_keyframe,keyframe::drift-straight:00030,uniform_gap6,drift-straight,30,30,30,0
payload_single_keyframe,keyframe::drift-straight:00034,uniform_gap2,drift-straight,34,34,34,0
payload_single_keyframe,keyframe::drift-straight:00038,uniform_gap2,drift-straight,38,38,38,0
payload_single_keyframe,keyframe::drift-straight:00042,uniform_gap6,drift-straight,42,42,42,0
payload_single_keyframe,keyframe::drift-straight:00046,uniform_gap2,drift-straight,46,46,46,0
payload_single_keyframe,keyframe::goat:00002,uniform_gap2,goat,2,2,2,0
payload_single_keyframe,keyframe::goat:00006,uniform_gap6,goat,6,6,6,0
payload_single_keyframe,keyframe::goat:00010,uniform_gap2,goat,10,10,10,0
payload_single_keyframe,keyframe::goat:00014,uniform_gap2,goat,14,14,14,0
payload_single_keyframe,keyframe::goat:00018,uniform_gap6,goat,18,18,18,0
payload_single_keyframe,keyframe::goat:00022,uniform_gap2,goat,22,22,22,0
payload_single_keyframe,keyframe::goat:00026,uniform_gap2,goat,26,26,26,0
payload_single_keyframe,keyframe::goat:00030,uniform_gap6,goat,30,30,30,0
payload_single_keyframe,keyframe::goat:00034,uniform_gap2,goat,34,34,34,0
payload_single_keyframe,keyframe::goat:00038,uniform_gap2,goat,38,38,38,0
payload_single_keyframe,keyframe::goat:00042,uniform_gap6,goat,42,42,42,0
payload_single_keyframe,keyframe::goat:00050,uniform_gap2,goat,50,50,50,0
payload_single_keyframe,keyframe::goat:00054,uniform_gap6,goat,54,54,54,0
payload_single_keyframe,keyframe::goat:00058,uniform_gap2,goat,58,58,58,0
payload_single_keyframe,keyframe::goat:00062,uniform_gap2,goat,62,62,62,0
payload_single_keyframe,keyframe::goat:00066,uniform_gap6,goat,66,66,66,0
payload_single_keyframe,keyframe::goat:00070,uniform_gap2,goat,70,70,70,0
payload_single_keyframe,keyframe::goat:00074,uniform_gap2,goat,74,74,74,0
payload_single_keyframe,keyframe::goat:00082,uniform_gap2,goat,82,82,82,0
payload_single_keyframe,keyframe::goat:00086,uniform_gap2,goat,86,86,86,0
payload_single_keyframe,keyframe::gold-fish:00002,uniform_gap2,gold-fish,2,2,2,0
payload_single_keyframe,keyframe::gold-fish:00006,uniform_gap6,gold-fish,6,6,6,0
payload_single_keyframe,keyframe::gold-fish:00010,uniform_gap2,gold-fish,10,10,10,0
payload_single_keyframe,keyframe::gold-fish:00014,uniform_gap2,gold-fish,14,14,14,0
payload_single_keyframe,keyframe::gold-fish:00018,uniform_gap6,gold-fish,18,18,18,0
payload_single_keyframe,keyframe::gold-fish:00022,uniform_gap2,gold-fish,22,22,22,0
payload_single_keyframe,keyframe::gold-fish:00026,uniform_gap2,gold-fish,26,26,26,0
payload_single_keyframe,keyframe::gold-fish:00030,uniform_gap6,gold-fish,30,30,30,0
payload_single_keyframe,keyframe::gold-fish:00034,uniform_gap2,gold-fish,34,34,34,0
payload_single_keyframe,keyframe::gold-fish:00038,uniform_gap2,gold-fish,38,38,38,0
payload_single_keyframe,keyframe::gold-fish:00042,uniform_gap6,gold-fish,42,42,42,0
payload_single_keyframe,keyframe::gold-fish:00046,uniform_gap2,gold-fish,46,46,46,0
payload_single_keyframe,keyframe::gold-fish:00050,uniform_gap2,gold-fish,50,50,50,0
payload_single_keyframe,keyframe::gold-fish:00054,uniform_gap6,gold-fish,54,54,54,0
payload_single_keyframe,keyframe::gold-fish:00058,uniform_gap2,gold-fish,58,58,58,0
payload_single_keyframe,keyframe::gold-fish:00062,uniform_gap2,gold-fish,62,62,62,0
payload_single_keyframe,keyframe::gold-fish:00066,uniform_gap6,gold-fish,66,66,66,0
payload_single_keyframe,keyframe::gold-fish:00070,uniform_gap2,gold-fish,70,70,70,0
payload_single_keyframe,keyframe::gold-fish:00074,uniform_gap2,gold-fish,74,74,74,0
payload_single_keyframe,keyframe::horsejump-high:00002,uniform_gap2,horsejump-high,2,2,2,0
payload_single_keyframe,keyframe::horsejump-high:00006,uniform_gap6,horsejump-high,6,6,6,0
payload_single_keyframe,keyframe::horsejump-high:00010,uniform_gap2,horsejump-high,10,10,10,0
payload_single_keyframe,keyframe::horsejump-high:00014,uniform_gap2,horsejump-high,14,14,14,0
payload_single_keyframe,keyframe::horsejump-high:00018,uniform_gap6,horsejump-high,18,18,18,0
payload_single_keyframe,keyframe::horsejump-high:00022,uniform_gap2,horsejump-high,22,22,22,0
payload_single_keyframe,keyframe::horsejump-high:00026,uniform_gap2,horsejump-high,26,26,26,0
payload_single_keyframe,keyframe::horsejump-high:00030,uniform_gap6,horsejump-high,30,30,30,0
payload_single_keyframe,keyframe::horsejump-high:00034,uniform_gap2,horsejump-high,34,34,34,0
payload_single_keyframe,keyframe::horsejump-high:00038,uniform_gap2,horsejump-high,38,38,38,0
payload_single_keyframe,keyframe::horsejump-high:00042,uniform_gap6,horsejump-high,42,42,42,0
payload_single_keyframe,keyframe::horsejump-high:00046,uniform_gap2,horsejump-high,46,46,46,0
payload_single_keyframe,keyframe::india:00002,uniform_gap2,india,2,2,2,0
payload_single_keyframe,keyframe::india:00006,uniform_gap6,india,6,6,6,0
payload_single_keyframe,keyframe::india:00010,uniform_gap2,india,10,10,10,0
payload_single_keyframe,keyframe::india:00014,uniform_gap2,india,14,14,14,0
payload_single_keyframe,keyframe::india:00018,uniform_gap6,india,18,18,18,0
payload_single_keyframe,keyframe::india:00022,uniform_gap2,india,22,22,22,0
payload_single_keyframe,keyframe::india:00026,uniform_gap2,india,26,26,26,0
payload_single_keyframe,keyframe::india:00034,uniform_gap2,india,34,34,34,0
payload_single_keyframe,keyframe::india:00038,uniform_gap2,india,38,38,38,0
payload_single_keyframe,keyframe::india:00042,uniform_gap6,india,42,42,42,0
payload_single_keyframe,keyframe::india:00046,uniform_gap2,india,46,46,46,0
payload_single_keyframe,keyframe::india:00050,uniform_gap2,india,50,50,50,0
payload_single_keyframe,keyframe::india:00054,uniform_gap6,india,54,54,54,0
payload_single_keyframe,keyframe::india:00058,uniform_gap2,india,58,58,58,0
payload_single_keyframe,keyframe::india:00062,uniform_gap2,india,62,62,62,0
payload_single_keyframe,keyframe::india:00066,uniform_gap6,india,66,66,66,0
payload_single_keyframe,keyframe::india:00070,uniform_gap2,india,70,70,70,0
payload_single_keyframe,keyframe::india:00074,uniform_gap2,india,74,74,74,0
payload_single_keyframe,keyframe::india:00078,uniform_gap6,india,78,78,78,0
payload_single_keyframe,keyframe::judo:00002,uniform_gap2,judo,2,2,2,0
payload_single_keyframe,keyframe::judo:00006,uniform_gap6,judo,6,6,6,0
payload_single_keyframe,keyframe::judo:00010,uniform_gap2,judo,10,10,10,0
payload_single_keyframe,keyframe::judo:00014,uniform_gap2,judo,14,14,14,0
payload_single_keyframe,keyframe::judo:00018,uniform_gap6,judo,18,18,18,0
payload_single_keyframe,keyframe::judo:00022,uniform_gap2,judo,22,22,22,0
payload_single_keyframe,keyframe::judo:00026,uniform_gap2,judo,26,26,26,0
payload_single_keyframe,keyframe::judo:00030,uniform_gap6,judo,30,30,30,0
payload_single_keyframe,keyframe::kite-surf:00010,uniform_gap2,kite-surf,10,10,10,0
payload_single_keyframe,keyframe::kite-surf:00014,uniform_gap2,kite-surf,14,14,14,0
payload_single_keyframe,keyframe::kite-surf:00018,uniform_gap6,kite-surf,18,18,18,0
payload_single_keyframe,keyframe::kite-surf:00022,uniform_gap2,kite-surf,22,22,22,0
payload_single_keyframe,keyframe::kite-surf:00026,uniform_gap2,kite-surf,26,26,26,0
payload_single_keyframe,keyframe::kite-surf:00030,uniform_gap6,kite-surf,30,30,30,0
payload_single_keyframe,keyframe::kite-surf:00034,uniform_gap2,kite-surf,34,34,34,0
payload_single_keyframe,keyframe::kite-surf:00038,uniform_gap2,kite-surf,38,38,38,0
payload_single_keyframe,keyframe::kite-surf:00042,uniform_gap6,kite-surf,42,42,42,0
payload_single_keyframe,keyframe::kite-surf:00046,uniform_gap2,kite-surf,46,46,46,0
payload_single_keyframe,keyframe::lab-coat:00002,uniform_gap2,lab-coat,2,2,2,0
payload_single_keyframe,keyframe::lab-coat:00006,uniform_gap6,lab-coat,6,6,6,0
payload_single_keyframe,keyframe::lab-coat:00010,uniform_gap2,lab-coat,10,10,10,0
payload_single_keyframe,keyframe::lab-coat:00014,uniform_gap2,lab-coat,14,14,14,0
payload_single_keyframe,keyframe::lab-coat:00018,uniform_gap6,lab-coat,18,18,18,0
payload_single_keyframe,keyframe::lab-coat:00022,uniform_gap2,lab-coat,22,22,22,0
payload_single_keyframe,keyframe::lab-coat:00026,uniform_gap2,lab-coat,26,26,26,0
payload_single_keyframe,keyframe::lab-coat:00030,uniform_gap6,lab-coat,30,30,30,0
payload_single_keyframe,keyframe::lab-coat:00034,uniform_gap2,lab-coat,34,34,34,0
payload_single_keyframe,keyframe::lab-coat:00038,uniform_gap2,lab-coat,38,38,38,0
