measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count
residual::bike-packing:00015:00012:00016,bike-packing,15,12,16,4,0.75,uniform_gap4,1
residual::bike-packing:00015:00012:00018,bike-packing,15,12,18,6,0.5,uniform_gap6,1
residual::bike-packing:00015:00014:00016,bike-packing,15,14,16,2,0.5,uniform_gap2,1
residual::bike-packing:00016:00012:00018,bike-packing,16,12,18,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00017:00012:00018,bike-packing,17,12,18,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00017:00016:00018,bike-packing,17,16,18,2,0.5,uniform_gap2,1
residual::bike-packing:00017:00016:00020,bike-packing,17,16,20,4,0.25,uniform_gap4,1
residual::bike-packing:00017:00016:00024,bike-packing,17,16,24,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00017:00016:00032,bike-packing,17,16,32,16,0.0625,uniform_gap16,1
residual::bike-packing:00018:00016:00020,bike-packing,18,16,20,4,0.5,uniform_gap4,1
residual::bike-packing:00018:00016:00024,bike-packing,18,16,24,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00018:00016:00032,bike-packing,18,16,32,16,0.125,uniform_gap16,1
residual::bike-packing:00019:00016:00020,bike-packing,19,16,20,4,0.75,uniform_gap4,1
residual::bike-packing:00019:00016:00024,bike-packing,19,16,24,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00019:00016:00032,bike-packing,19,16,32,16,0.1875,uniform_gap16,1
residual::bike-packing:00019:00018:00020,bike-packing,19,18,20,2,0.5,uniform_gap2,1
residual::bike-packing:00019:00018:00024,bike-packing,19,18,24,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00020:00016:00024,bike-packing,20,16,24,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00020:00016:00032,bike-packing,20,16,32,16,0.25,uniform_gap16,1
residual::bike-packing:00020:00018:00024,bike-packing,20,18,24,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00021:00016:00024,bike-packing,21,16,24,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00021:00016:00032,bike-packing,21,16,32,16,0.3125,uniform_gap16,1
residual::bike-packing:00021:00018:00024,bike-packing,21,18,24,6,0.5,uniform_gap6,1
residual::bike-packing:00021:00020:00022,bike-packing,21,20,22,2,0.5,uniform_gap2,1
residual::bike-packing:00021:00020:00024,bike-packing,21,20,24,4,0.25,uniform_gap4,1
residual::bike-packing:00022:00016:00024,bike-packing,22,16,24,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00022:00016:00032,bike-packing,22,16,32,16,0.375,uniform_gap16,1
residual::bike-packing:00022:00018:00024,bike-packing,22,18,24,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00022:00020:00024,bike-packing,22,20,24,4,0.5,uniform_gap4,1
residual::bike-packing:00023:00016:00024,bike-packing,23,16,24,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00023:00016:00032,bike-packing,23,16,32,16,0.4375,uniform_gap16,1
residual::bike-packing:00023:00018:00024,bike-packing,23,18,24,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00023:00020:00024,bike-packing,23,20,24,4,0.75,uniform_gap4,1
residual::bike-packing:00023:00022:00024,bike-packing,23,22,24,2,0.5,uniform_gap2,1
residual::bike-packing:00024:00016:00032,bike-packing,24,16,32,16,0.5,uniform_gap16,1
residual::bike-packing:00025:00016:00032,bike-packing,25,16,32,16,0.5625,uniform_gap16,1
residual::bike-packing:00025:00024:00026,bike-packing,25,24,26,2,0.5,uniform_gap2,1
residual::bike-packing:00025:00024:00028,bike-packing,25,24,28,4,0.25,uniform_gap4,1
residual::bike-packing:00025:00024:00030,bike-packing,25,24,30,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00025:00024:00032,bike-packing,25,24,32,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00026:00016:00032,bike-packing,26,16,32,16,0.625,uniform_gap16,1
residual::bike-packing:00026:00024:00028,bike-packing,26,24,28,4,0.5,uniform_gap4,1
residual::bike-packing:00026:00024:00030,bike-packing,26,24,30,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00026:00024:00032,bike-packing,26,24,32,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00027:00016:00032,bike-packing,27,16,32,16,0.6875,uniform_gap16,1
residual::bike-packing:00027:00024:00028,bike-packing,27,24,28,4,0.75,uniform_gap4,1
residual::bike-packing:00027:00024:00030,bike-packing,27,24,30,6,0.5,uniform_gap6,1
residual::bike-packing:00027:00024:00032,bike-packing,27,24,32,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00027:00026:00028,bike-packing,27,26,28,2,0.5,uniform_gap2,1
residual::bike-packing:00028:00016:00032,bike-packing,28,16,32,16,0.75,uniform_gap16,1
residual::bike-packing:00028:00024:00030,bike-packing,28,24,30,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00028:00024:00032,bike-packing,28,24,32,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00029:00016:00032,bike-packing,29,16,32,16,0.8125,uniform_gap16,1
residual::bike-packing:00029:00024:00030,bike-packing,29,24,30,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00029:00024:00032,bike-packing,29,24,32,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00029:00028:00030,bike-packing,29,28,30,2,0.5,uniform_gap2,1
residual::bike-packing:00029:00028:00032,bike-packing,29,28,32,4,0.25,uniform_gap4,1
residual::bike-packing:00030:00016:00032,bike-packing,30,16,32,16,0.875,uniform_gap16,1
residual::bike-packing:00030:00024:00032,bike-packing,30,24,32,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00030:00028:00032,bike-packing,30,28,32,4,0.5,uniform_gap4,1
residual::bike-packing:00031:00016:00032,bike-packing,31,16,32,16,0.9375,uniform_gap16,1
residual::bike-packing:00031:00024:00032,bike-packing,31,24,32,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00031:00028:00032,bike-packing,31,28,32,4,0.75,uniform_gap4,1
residual::bike-packing:00031:00030:00032,bike-packing,31,30,32,2,0.5,uniform_gap2,1
residual::bike-packing:00031:00030:00036,bike-packing,31,30,36,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00032:00030:00036,bike-packing,32,30,36,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00033:00030:00036,bike-packing,33,30,36,6,0.5,uniform_gap6,1
residual::bike-packing:00033:00032:00034,bike-packing,33,32,34,2,0.5,uniform_gap2,1
residual::bike-packing:00033:00032:00036,bike-packing,33,32,36,4,0.25,uniform_gap4,1
residual::bike-packing:00033:00032:00040,bike-packing,33,32,40,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00033:00032:00048,bike-packing,33,32,48,16,0.0625,uniform_gap16,1
residual::bike-packing:00034:00030:00036,bike-packing,34,30,36,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00034:00032:00036,bike-packing,34,32,36,4,0.5,uniform_gap4,1
residual::bike-packing:00034:00032:00040,bike-packing,34,32,40,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00034:00032:00048,bike-packing,34,32,48,16,0.125,uniform_gap16,1
residual::bike-packing:00035:00030:00036,bike-packing,35,30,36,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00035:00032:00036,bike-packing,35,32,36,4,0.75,uniform_gap4,1
residual::bike-packing:00035:00032:00040,bike-packing,35,32,40,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00035:00032:00048,bike-packing,35,32,48,16,0.1875,uniform_gap16,1
residual::bike-packing:00035:00034:00036,bike-packing,35,34,36,2,0.5,uniform_gap2,1
residual::bike-packing:00036:00032:00040,bike-packing,36,32,40,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00036:00032:00048,bike-packing,36,32,48,16,0.25,uniform_gap16,1
residual::bike-packing:00037:00032:00040,bike-packing,37,32,40,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00037:00032:00048,bike-packing,37,32,48,16,0.3125,uniform_gap16,1
residual::bike-packing:00037:00036:00038,bike-packing,37,36,38,2,0.5,uniform_gap2,1
residual::bike-packing:00037:00036:00040,bike-packing,37,36,40,4,0.25,uniform_gap4,1
residual::bike-packing:00037:00036:00042,bike-packing,37,36,42,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00038:00032:00040,bike-packing,38,32,40,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00038:00032:00048,bike-packing,38,32,48,16,0.375,uniform_gap16,1
residual::bike-packing:00038:00036:00040,bike-packing,38,36,40,4,0.5,uniform_gap4,1
residual::bike-packing:00038:00036:00042,bike-packing,38,36,42,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00039:00032:00040,bike-packing,39,32,40,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00039:00032:00048,bike-packing,39,32,48,16,0.4375,uniform_gap16,1
residual::bike-packing:00039:00036:00040,bike-packing,39,36,40,4,0.75,uniform_gap4,1
residual::bike-packing:00039:00036:00042,bike-packing,39,36,42,6,0.5,uniform_gap6,1
residual::bike-packing:00039:00038:00040,bike-packing,39,38,40,2,0.5,uniform_gap2,1
residual::bike-packing:00040:00032:00048,bike-packing,40,32,48,16,0.5,uniform_gap16,1
residual::bike-packing:00040:00036:00042,bike-packing,40,36,42,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00041:00032:00048,bike-packing,41,32,48,16,0.5625,uniform_gap16,1
residual::bike-packing:00041:00036:00042,bike-packing,41,36,42,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00041:00040:00042,bike-packing,41,40,42,2,0.5,uniform_gap2,1
residual::bike-packing:00041:00040:00044,bike-packing,41,40,44,4,0.25,uniform_gap4,1
residual::bike-packing:00041:00040:00046,bike-packing,41,40,46,6,0.16666666666666666,stage165_adaptive,1
residual::bike-packing:00041:00040:00048,bike-packing,41,40,48,8,0.125,uniform_gap8,1
residual::bike-packing:00042:00032:00048,bike-packing,42,32,48,16,0.625,uniform_gap16,1
residual::bike-packing:00042:00040:00044,bike-packing,42,40,44,4,0.5,uniform_gap4,1
residual::bike-packing:00042:00040:00046,bike-packing,42,40,46,6,0.3333333333333333,stage165_adaptive,1
residual::bike-packing:00042:00040:00048,bike-packing,42,40,48,8,0.25,uniform_gap8,1
residual::bike-packing:00043:00032:00048,bike-packing,43,32,48,16,0.6875,uniform_gap16,1
residual::bike-packing:00043:00040:00044,bike-packing,43,40,44,4,0.75,uniform_gap4,1
residual::bike-packing:00043:00040:00046,bike-packing,43,40,46,6,0.5,stage165_adaptive,1
residual::bike-packing:00043:00040:00048,bike-packing,43,40,48,8,0.375,uniform_gap8,1
residual::bike-packing:00043:00042:00044,bike-packing,43,42,44,2,0.5,uniform_gap2,1
residual::bike-packing:00043:00042:00048,bike-packing,43,42,48,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00044:00032:00048,bike-packing,44,32,48,16,0.75,uniform_gap16,1
residual::bike-packing:00044:00040:00046,bike-packing,44,40,46,6,0.6666666666666666,stage165_adaptive,1
residual::bike-packing:00044:00040:00048,bike-packing,44,40,48,8,0.5,uniform_gap8,1
residual::bike-packing:00044:00042:00048,bike-packing,44,42,48,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00045:00032:00048,bike-packing,45,32,48,16,0.8125,uniform_gap16,1
residual::bike-packing:00045:00040:00046,bike-packing,45,40,46,6,0.8333333333333334,stage165_adaptive,1
residual::bike-packing:00045:00040:00048,bike-packing,45,40,48,8,0.625,uniform_gap8,1
residual::bike-packing:00045:00042:00048,bike-packing,45,42,48,6,0.5,uniform_gap6,1
residual::bike-packing:00045:00044:00046,bike-packing,45,44,46,2,0.5,uniform_gap2,1
residual::bike-packing:00045:00044:00048,bike-packing,45,44,48,4,0.25,uniform_gap4,1
residual::bike-packing:00046:00032:00048,bike-packing,46,32,48,16,0.875,uniform_gap16,1
residual::bike-packing:00046:00040:00048,bike-packing,46,40,48,8,0.75,uniform_gap8,1
residual::bike-packing:00046:00042:00048,bike-packing,46,42,48,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00046:00044:00048,bike-packing,46,44,48,4,0.5,uniform_gap4,1
residual::bike-packing:00047:00032:00048,bike-packing,47,32,48,16,0.9375,uniform_gap16,1
residual::bike-packing:00047:00040:00048,bike-packing,47,40,48,8,0.875,uniform_gap8,1
residual::bike-packing:00047:00042:00048,bike-packing,47,42,48,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00047:00044:00048,bike-packing,47,44,48,4,0.75,uniform_gap4,1
residual::bike-packing:00047:00046:00048,bike-packing,47,46,48,2,0.5,stage165_adaptive uniform_gap2,2
residual::bike-packing:00049:00048:00050,bike-packing,49,48,50,2,0.5,uniform_gap2,1
residual::bike-packing:00049:00048:00052,bike-packing,49,48,52,4,0.25,uniform_gap4,1
residual::bike-packing:00049:00048:00054,bike-packing,49,48,54,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00049:00048:00056,bike-packing,49,48,56,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00049:00048:00064,bike-packing,49,48,64,16,0.0625,uniform_gap16,1
residual::bike-packing:00050:00048:00052,bike-packing,50,48,52,4,0.5,uniform_gap4,1
residual::bike-packing:00050:00048:00054,bike-packing,50,48,54,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00050:00048:00056,bike-packing,50,48,56,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00050:00048:00064,bike-packing,50,48,64,16,0.125,uniform_gap16,1
residual::bike-packing:00051:00048:00052,bike-packing,51,48,52,4,0.75,uniform_gap4,1
residual::bike-packing:00051:00048:00054,bike-packing,51,48,54,6,0.5,uniform_gap6,1
residual::bike-packing:00051:00048:00056,bike-packing,51,48,56,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00051:00048:00064,bike-packing,51,48,64,16,0.1875,uniform_gap16,1
residual::bike-packing:00051:00050:00052,bike-packing,51,50,52,2,0.5,uniform_gap2,1
residual::bike-packing:00052:00048:00054,bike-packing,52,48,54,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00052:00048:00056,bike-packing,52,48,56,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00052:00048:00064,bike-packing,52,48,64,16,0.25,uniform_gap16,1
residual::bike-packing:00053:00048:00054,bike-packing,53,48,54,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00053:00048:00056,bike-packing,53,48,56,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00053:00048:00064,bike-packing,53,48,64,16,0.3125,uniform_gap16,1
residual::bike-packing:00053:00052:00054,bike-packing,53,52,54,2,0.5,uniform_gap2,1
residual::bike-packing:00053:00052:00056,bike-packing,53,52,56,4,0.25,uniform_gap4,1
residual::bike-packing:00054:00048:00056,bike-packing,54,48,56,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00054:00048:00064,bike-packing,54,48,64,16,0.375,uniform_gap16,1
residual::bike-packing:00054:00052:00056,bike-packing,54,52,56,4,0.5,uniform_gap4,1
residual::bike-packing:00055:00048:00056,bike-packing,55,48,56,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00055:00048:00064,bike-packing,55,48,64,16,0.4375,uniform_gap16,1
residual::bike-packing:00055:00052:00056,bike-packing,55,52,56,4,0.75,uniform_gap4,1
residual::bike-packing:00055:00054:00056,bike-packing,55,54,56,2,0.5,uniform_gap2,1
residual::bike-packing:00055:00054:00060,bike-packing,55,54,60,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00056:00048:00064,bike-packing,56,48,64,16,0.5,uniform_gap16,1
residual::bike-packing:00056:00054:00060,bike-packing,56,54,60,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00057:00048:00064,bike-packing,57,48,64,16,0.5625,uniform_gap16,1
residual::bike-packing:00057:00054:00060,bike-packing,57,54,60,6,0.5,uniform_gap6,1
residual::bike-packing:00057:00056:00058,bike-packing,57,56,58,2,0.5,uniform_gap2,1
residual::bike-packing:00057:00056:00060,bike-packing,57,56,60,4,0.25,uniform_gap4,1
residual::bike-packing:00057:00056:00064,bike-packing,57,56,64,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00058:00048:00064,bike-packing,58,48,64,16,0.625,uniform_gap16,1
residual::bike-packing:00058:00054:00060,bike-packing,58,54,60,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00058:00056:00060,bike-packing,58,56,60,4,0.5,uniform_gap4,1
residual::bike-packing:00058:00056:00064,bike-packing,58,56,64,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00059:00048:00064,bike-packing,59,48,64,16,0.6875,uniform_gap16,1
residual::bike-packing:00059:00054:00060,bike-packing,59,54,60,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00059:00056:00060,bike-packing,59,56,60,4,0.75,uniform_gap4,1
residual::bike-packing:00059:00056:00064,bike-packing,59,56,64,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00059:00058:00060,bike-packing,59,58,60,2,0.5,uniform_gap2,1
residual::bike-packing:00060:00048:00064,bike-packing,60,48,64,16,0.75,uniform_gap16,1
residual::bike-packing:00060:00056:00064,bike-packing,60,56,64,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00061:00048:00064,bike-packing,61,48,64,16,0.8125,uniform_gap16,1
residual::bike-packing:00061:00056:00064,bike-packing,61,56,64,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00061:00060:00062,bike-packing,61,60,62,2,0.5,uniform_gap2,1
residual::bike-packing:00061:00060:00064,bike-packing,61,60,64,4,0.25,uniform_gap4,1
residual::bike-packing:00061:00060:00066,bike-packing,61,60,66,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00062:00048:00064,bike-packing,62,48,64,16,0.875,uniform_gap16,1
residual::bike-packing:00062:00056:00064,bike-packing,62,56,64,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00062:00060:00064,bike-packing,62,60,64,4,0.5,uniform_gap4,1
residual::bike-packing:00062:00060:00066,bike-packing,62,60,66,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00063:00048:00064,bike-packing,63,48,64,16,0.9375,uniform_gap16,1
residual::bike-packing:00063:00056:00064,bike-packing,63,56,64,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00063:00060:00064,bike-packing,63,60,64,4,0.75,uniform_gap4,1
residual::bike-packing:00063:00060:00066,bike-packing,63,60,66,6,0.5,uniform_gap6,1
residual::bike-packing:00063:00062:00064,bike-packing,63,62,64,2,0.5,uniform_gap2,1
residual::bike-packing:00064:00060:00066,bike-packing,64,60,66,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00065:00060:00066,bike-packing,65,60,66,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00065:00064:00066,bike-packing,65,64,66,2,0.5,uniform_gap2,1
residual::bike-packing:00065:00064:00068,bike-packing,65,64,68,4,0.25,stage165_adaptive uniform_gap16 uniform_gap4 uniform_gap8,4
residual::bike-packing:00066:00064:00068,bike-packing,66,64,68,4,0.5,stage165_adaptive uniform_gap16 uniform_gap4 uniform_gap8,4
residual::bike-packing:00067:00064:00068,bike-packing,67,64,68,4,0.75,stage165_adaptive uniform_gap16 uniform_gap4 uniform_gap8,4
residual::bike-packing:00067:00066:00068,bike-packing,67,66,68,2,0.5,uniform_gap2 uniform_gap6,2
residual::blackswan:00001:00000:00002,blackswan,1,0,2,2,0.5,uniform_gap2,1
residual::blackswan:00001:00000:00004,blackswan,1,0,4,4,0.25,uniform_gap4,1
residual::blackswan:00001:00000:00006,blackswan,1,0,6,6,0.16666666666666666,uniform_gap6,1
residual::blackswan:00001:00000:00008,blackswan,1,0,8,8,0.125,stage165_adaptive uniform_gap8,2
residual::blackswan:00001:00000:00016,blackswan,1,0,16,16,0.0625,uniform_gap16,1
residual::blackswan:00002:00000:00004,blackswan,2,0,4,4,0.5,uniform_gap4,1
residual::blackswan:00002:00000:00006,blackswan,2,0,6,6,0.3333333333333333,uniform_gap6,1
residual::blackswan:00002:00000:00008,blackswan,2,0,8,8,0.25,stage165_adaptive uniform_gap8,2
residual::blackswan:00002:00000:00016,blackswan,2,0,16,16,0.125,uniform_gap16,1
residual::blackswan:00003:00000:00004,blackswan,3,0,4,4,0.75,uniform_gap4,1
residual::blackswan:00003:00000:00006,blackswan,3,0,6,6,0.5,uniform_gap6,1
residual::blackswan:00003:00000:00008,blackswan,3,0,8,8,0.375,stage165_adaptive uniform_gap8,2
residual::blackswan:00003:00000:00016,blackswan,3,0,16,16,0.1875,uniform_gap16,1
residual::blackswan:00003:00002:00004,blackswan,3,2,4,2,0.5,uniform_gap2,1
residual::blackswan:00004:00000:00006,blackswan,4,0,6,6,0.6666666666666666,uniform_gap6,1
residual::blackswan:00004:00000:00008,blackswan,4,0,8,8,0.5,stage165_adaptive uniform_gap8,2
residual::blackswan:00004:00000:00016,blackswan,4,0,16,16,0.25,uniform_gap16,1
residual::blackswan:00005:00000:00006,blackswan,5,0,6,6,0.8333333333333334,uniform_gap6,1
residual::blackswan:00005:00000:00008,blackswan,5,0,8,8,0.625,stage165_adaptive uniform_gap8,2
residual::blackswan:00005:00000:00016,blackswan,5,0,16,16,0.3125,uniform_gap16,1
residual::blackswan:00005:00004:00006,blackswan,5,4,6,2,0.5,uniform_gap2,1
residual::blackswan:00005:00004:00008,blackswan,5,4,8,4,0.25,uniform_gap4,1
residual::blackswan:00006:00000:00008,blackswan,6,0,8,8,0.75,stage165_adaptive uniform_gap8,2
residual::blackswan:00006:00000:00016,blackswan,6,0,16,16,0.375,uniform_gap16,1
