task_split,setting_label,setting_role,keep_fraction,side_bits,task_id,dataset,split,sequence,codec,bits,reference_gap,target_index,normalized_time,left_anchor_source_item,left_anchor_source_side,right_anchor_source_item,right_anchor_source_side,target_dense_anchor_source_item,target_dense_anchor_source_side,keep_gaussians,feature_dim,residual_dim,feature_rms,label_rms
train,q4_top20,primary,0.2,4,stage79_00003078,DAVIS,train,cat-girl,q12,12,4,18,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000019_000020.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000017_000018.pt,right_anchor,7373,56,13,0.47009503841400146,0.14572648704051971
train,q4_top10,low_rate,0.1,4,stage79_00003078,DAVIS,train,cat-girl,q12,12,4,18,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000019_000020.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000017_000018.pt,right_anchor,3686,56,13,0.48064088821411133,0.153373122215271
train,q4_top20,primary,0.2,4,stage79_00005714,DAVIS,train,dog-gooses,q12,12,8,41,0.125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000039_000040.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000047_000048.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000040_000041.pt,right_anchor,7373,56,13,0.44048991799354553,0.1381566822528839
train,q4_top10,low_rate,0.1,4,stage79_00005714,DAVIS,train,dog-gooses,q12,12,8,41,0.125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000039_000040.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000047_000048.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000040_000041.pt,right_anchor,3686,56,13,0.4637056887149811,0.15390755236148834
train,q4_top20,primary,0.2,4,stage79_00013229,DAVIS,train,night-race,q12,12,4,42,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/night-race/gap1/pair_000039_000040.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/night-race/gap1/pair_000043_000044.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/night-race/gap1/pair_000041_000042.pt,right_anchor,7373,56,13,0.4105543792247772,0.0979970172047615
train,q4_top10,low_rate,0.1,4,stage79_00013229,DAVIS,train,night-race,q12,12,4,42,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/night-race/gap1/pair_000039_000040.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/night-race/gap1/pair_000043_000044.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/night-race/gap1/pair_000041_000042.pt,right_anchor,3686,56,13,0.4210875928401947,0.11611748486757278
train,q4_top20,primary,0.2,4,stage79_00014027,DAVIS,train,rallye,q12,12,8,23,0.875,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/rallye/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/rallye/gap1/pair_000023_000024.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/rallye/gap1/pair_000022_000023.pt,right_anchor,7373,56,13,0.47406113147735596,0.05447561666369438
train,q4_top10,low_rate,0.1,4,stage79_00014027,DAVIS,train,rallye,q12,12,8,23,0.875,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/rallye/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/rallye/gap1/pair_000023_000024.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/rallye/gap1/pair_000022_000023.pt,right_anchor,3686,56,13,0.475399911403656,0.07020058482885361
train,q4_top20,primary,0.2,4,stage79_00001113,DAVIS,train,boat,q12,12,8,10,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap1/pair_000009_000010.pt,right_anchor,7373,56,13,0.4218842089176178,0.08880756050348282
train,q4_top10,low_rate,0.1,4,stage79_00001113,DAVIS,train,boat,q12,12,8,10,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/boat/gap1/pair_000009_000010.pt,right_anchor,3686,56,13,0.42643797397613525,0.10513553768396378
train,q4_top20,primary,0.2,4,stage79_00008799,DAVIS,train,horsejump-low,q12,12,4,45,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/horsejump-low/gap1/pair_000043_000044.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/horsejump-low/gap1/pair_000047_000048.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/horsejump-low/gap1/pair_000044_000045.pt,right_anchor,7373,56,13,0.44907307624816895,0.14769808948040009
train,q4_top10,low_rate,0.1,4,stage79_00008799,DAVIS,train,horsejump-low,q12,12,4,45,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/horsejump-low/gap1/pair_000043_000044.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/horsejump-low/gap1/pair_000047_000048.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/horsejump-low/gap1/pair_000044_000045.pt,right_anchor,3686,56,13,0.4546741843223572,0.15978796780109406
train,q4_top20,primary,0.2,4,stage79_00000679,DAVIS,train,bmx-bumps,q12,12,4,58,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000055_000056.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000059_000060.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000057_000058.pt,right_anchor,7373,56,13,0.47320249676704407,0.15331365168094635
train,q4_top10,low_rate,0.1,4,stage79_00000679,DAVIS,train,bmx-bumps,q12,12,4,58,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000055_000056.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000059_000060.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000057_000058.pt,right_anchor,3686,56,13,0.4855976700782776,0.16784611344337463
train,q4_top20,primary,0.2,4,stage79_00018225,DAVIS,train,surf,q12,12,4,11,0.75,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/surf/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/surf/gap1/pair_000011_000012.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/surf/gap1/pair_000010_000011.pt,right_anchor,7373,56,13,0.4676578938961029,0.12082592397928238
train,q4_top10,low_rate,0.1,4,stage79_00018225,DAVIS,train,surf,q12,12,4,11,0.75,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/surf/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/surf/gap1/pair_000011_000012.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/surf/gap1/pair_000010_000011.pt,right_anchor,3686,56,13,0.4714404046535492,0.13656362891197205
train,q4_top20,primary,0.2,4,stage79_00003139,DAVIS,train,cat-girl,q12,12,8,10,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000009_000010.pt,right_anchor,7373,56,13,0.46772006154060364,0.13976407051086426
train,q4_top10,low_rate,0.1,4,stage79_00003139,DAVIS,train,cat-girl,q12,12,8,10,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/cat-girl/gap1/pair_000009_000010.pt,right_anchor,3686,56,13,0.4779984951019287,0.1437261998653412
train,q4_top20,primary,0.2,4,stage79_00010373,DAVIS,train,lady-running,q12,12,4,61,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/lady-running/gap1/pair_000059_000060.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/lady-running/gap1/pair_000063_000064.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/lady-running/gap1/pair_000060_000061.pt,right_anchor,7373,56,13,0.45447587966918945,0.123672716319561
train,q4_top10,low_rate,0.1,4,stage79_00010373,DAVIS,train,lady-running,q12,12,4,61,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/lady-running/gap1/pair_000059_000060.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/lady-running/gap1/pair_000063_000064.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/lady-running/gap1/pair_000060_000061.pt,right_anchor,3686,56,13,0.4686604142189026,0.13810153305530548
train,q4_top20,primary,0.2,4,stage79_00013058,DAVIS,train,motorbike,q12,12,16,14,0.875,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motorbike/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motorbike/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motorbike/gap1/pair_000013_000014.pt,right_anchor,7373,56,13,0.49028003215789795,0.15043741464614868
train,q4_top10,low_rate,0.1,4,stage79_00013058,DAVIS,train,motorbike,q12,12,16,14,0.875,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motorbike/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motorbike/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motorbike/gap1/pair_000013_000014.pt,right_anchor,3686,56,13,0.49239295721054077,0.16342198848724365
train,q4_top20,primary,0.2,4,stage79_00004843,DAVIS,train,dancing,q12,12,16,5,0.3125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dancing/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dancing/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dancing/gap1/pair_000004_000005.pt,right_anchor,7373,56,13,0.46797406673431396,0.1569259613752365
train,q4_top10,low_rate,0.1,4,stage79_00004843,DAVIS,train,dancing,q12,12,16,5,0.3125,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dancing/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dancing/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dancing/gap1/pair_000004_000005.pt,right_anchor,3686,56,13,0.4816294312477112,0.16399940848350525
train,q4_top20,primary,0.2,4,stage79_00005638,DAVIS,train,dog-gooses,q12,12,4,30,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000027_000028.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000029_000030.pt,right_anchor,7373,56,13,0.43705061078071594,0.12830467522144318
train,q4_top10,low_rate,0.1,4,stage79_00005638,DAVIS,train,dog-gooses,q12,12,4,30,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000027_000028.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/dog-gooses/gap1/pair_000029_000030.pt,right_anchor,3686,56,13,0.4523945748806,0.14970578253269196
train,q4_top20,primary,0.2,4,stage79_00017928,DAVIS,train,stunt,q12,12,4,35,0.75,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/stunt/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/stunt/gap1/pair_000035_000036.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/stunt/gap1/pair_000034_000035.pt,right_anchor,7373,56,13,0.46177399158477783,0.13862541317939758
train,q4_top10,low_rate,0.1,4,stage79_00017928,DAVIS,train,stunt,q12,12,4,35,0.75,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/stunt/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/stunt/gap1/pair_000035_000036.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/stunt/gap1/pair_000034_000035.pt,right_anchor,3686,56,13,0.47543448209762573,0.15176501870155334
train,q4_top20,primary,0.2,4,stage79_00020583,DAVIS,train,varanus-cage,q12,12,4,6,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/varanus-cage/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/varanus-cage/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/varanus-cage/gap1/pair_000005_000006.pt,right_anchor,7373,56,13,0.4431454837322235,0.13140949606895447
train,q4_top10,low_rate,0.1,4,stage79_00020583,DAVIS,train,varanus-cage,q12,12,4,6,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/varanus-cage/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/varanus-cage/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/varanus-cage/gap1/pair_000005_000006.pt,right_anchor,3686,56,13,0.4514031410217285,0.14721675217151642
train,q4_top20,primary,0.2,4,stage79_00002237,DAVIS,train,bus,q12,12,4,5,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bus/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bus/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bus/gap1/pair_000004_000005.pt,right_anchor,7373,56,13,0.4518168866634369,0.11831839382648468
train,q4_top10,low_rate,0.1,4,stage79_00002237,DAVIS,train,bus,q12,12,4,5,0.25,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bus/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bus/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bus/gap1/pair_000004_000005.pt,right_anchor,3686,56,13,0.46040287613868713,0.13873888552188873
train,q4_top20,primary,0.2,4,stage79_00005104,DAVIS,train,disc-jockey,q12,12,4,23,0.75,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/disc-jockey/gap1/pair_000019_000020.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/disc-jockey/gap1/pair_000023_000024.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/disc-jockey/gap1/pair_000022_000023.pt,right_anchor,7373,56,13,0.4348370432853699,0.04933140426874161
train,q4_top10,low_rate,0.1,4,stage79_00005104,DAVIS,train,disc-jockey,q12,12,4,23,0.75,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/disc-jockey/gap1/pair_000019_000020.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/disc-jockey/gap1/pair_000023_000024.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/disc-jockey/gap1/pair_000022_000023.pt,right_anchor,3686,56,13,0.4278457462787628,0.0657702088356018
