sample,frame_gap,left_index,right_index,segment_length,middle_frame_count,dataset_item,dataset_item_relative,anchor_mib,gaussians_per_anchor
n3dv,2,34,36,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000034_000036.pt,n3dv/gap2/pair_000034_000036.pt,1.828125,36864
n3dv,2,36,38,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000036_000038.pt,n3dv/gap2/pair_000036_000038.pt,1.828125,36864
n3dv,2,38,40,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000038_000040.pt,n3dv/gap2/pair_000038_000040.pt,1.828125,36864
n3dv,2,40,42,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000040_000042.pt,n3dv/gap2/pair_000040_000042.pt,1.828125,36864
n3dv,2,42,44,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000042_000044.pt,n3dv/gap2/pair_000042_000044.pt,1.828125,36864
n3dv,2,44,46,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000044_000046.pt,n3dv/gap2/pair_000044_000046.pt,1.828125,36864
n3dv,2,46,48,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000046_000048.pt,n3dv/gap2/pair_000046_000048.pt,1.828125,36864
n3dv,2,48,50,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000048_000050.pt,n3dv/gap2/pair_000048_000050.pt,1.828125,36864
n3dv,2,50,52,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000050_000052.pt,n3dv/gap2/pair_000050_000052.pt,1.828125,36864
n3dv,2,52,54,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000052_000054.pt,n3dv/gap2/pair_000052_000054.pt,1.828125,36864
n3dv,2,54,56,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000054_000056.pt,n3dv/gap2/pair_000054_000056.pt,1.828125,36864
n3dv,2,56,58,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000056_000058.pt,n3dv/gap2/pair_000056_000058.pt,1.828125,36864
n3dv,2,58,60,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000058_000060.pt,n3dv/gap2/pair_000058_000060.pt,1.828125,36864
n3dv,2,60,62,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000060_000062.pt,n3dv/gap2/pair_000060_000062.pt,1.828125,36864
n3dv,2,62,64,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000062_000064.pt,n3dv/gap2/pair_000062_000064.pt,1.828125,36864
n3dv,2,64,66,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000064_000066.pt,n3dv/gap2/pair_000064_000066.pt,1.828125,36864
n3dv,2,66,68,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000066_000068.pt,n3dv/gap2/pair_000066_000068.pt,1.828125,36864
n3dv,2,68,70,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000068_000070.pt,n3dv/gap2/pair_000068_000070.pt,1.828125,36864
n3dv,2,70,72,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000070_000072.pt,n3dv/gap2/pair_000070_000072.pt,1.828125,36864
n3dv,2,72,74,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000072_000074.pt,n3dv/gap2/pair_000072_000074.pt,1.828125,36864
n3dv,2,74,76,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000074_000076.pt,n3dv/gap2/pair_000074_000076.pt,1.828125,36864
n3dv,2,76,78,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000076_000078.pt,n3dv/gap2/pair_000076_000078.pt,1.828125,36864
n3dv,2,78,80,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/n3dv/gap2/pair_000078_000080.pt,n3dv/gap2/pair_000078_000080.pt,1.828125,36864
meetroom,2,0,2,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000000_000002.pt,meetroom/gap2/pair_000000_000002.pt,1.828125,36864
meetroom,2,2,4,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000002_000004.pt,meetroom/gap2/pair_000002_000004.pt,1.828125,36864
meetroom,2,4,6,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000004_000006.pt,meetroom/gap2/pair_000004_000006.pt,1.828125,36864
meetroom,2,6,8,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000006_000008.pt,meetroom/gap2/pair_000006_000008.pt,1.828125,36864
meetroom,2,8,10,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000008_000010.pt,meetroom/gap2/pair_000008_000010.pt,1.828125,36864
meetroom,2,10,12,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000010_000012.pt,meetroom/gap2/pair_000010_000012.pt,1.828125,36864
meetroom,2,12,14,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000012_000014.pt,meetroom/gap2/pair_000012_000014.pt,1.828125,36864
meetroom,2,14,16,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000014_000016.pt,meetroom/gap2/pair_000014_000016.pt,1.828125,36864
meetroom,2,16,18,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000016_000018.pt,meetroom/gap2/pair_000016_000018.pt,1.828125,36864
meetroom,2,18,20,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000018_000020.pt,meetroom/gap2/pair_000018_000020.pt,1.828125,36864
meetroom,2,20,22,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000020_000022.pt,meetroom/gap2/pair_000020_000022.pt,1.828125,36864
meetroom,2,22,24,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000022_000024.pt,meetroom/gap2/pair_000022_000024.pt,1.828125,36864
meetroom,2,24,26,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000024_000026.pt,meetroom/gap2/pair_000024_000026.pt,1.828125,36864
meetroom,2,26,28,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000026_000028.pt,meetroom/gap2/pair_000026_000028.pt,1.828125,36864
meetroom,2,28,30,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000028_000030.pt,meetroom/gap2/pair_000028_000030.pt,1.828125,36864
meetroom,2,30,32,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000030_000032.pt,meetroom/gap2/pair_000030_000032.pt,1.828125,36864
meetroom,2,32,34,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000032_000034.pt,meetroom/gap2/pair_000032_000034.pt,1.828125,36864
meetroom,2,34,36,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000034_000036.pt,meetroom/gap2/pair_000034_000036.pt,1.828125,36864
meetroom,2,36,38,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000036_000038.pt,meetroom/gap2/pair_000036_000038.pt,1.828125,36864
meetroom,2,38,40,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000038_000040.pt,meetroom/gap2/pair_000038_000040.pt,1.828125,36864
meetroom,2,40,42,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000040_000042.pt,meetroom/gap2/pair_000040_000042.pt,1.828125,36864
meetroom,2,42,44,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000042_000044.pt,meetroom/gap2/pair_000042_000044.pt,1.828125,36864
meetroom,2,44,46,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000044_000046.pt,meetroom/gap2/pair_000044_000046.pt,1.828125,36864
meetroom,2,46,48,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000046_000048.pt,meetroom/gap2/pair_000046_000048.pt,1.828125,36864
meetroom,2,48,50,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000048_000050.pt,meetroom/gap2/pair_000048_000050.pt,1.828125,36864
meetroom,2,50,52,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000050_000052.pt,meetroom/gap2/pair_000050_000052.pt,1.828125,36864
meetroom,2,52,54,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000052_000054.pt,meetroom/gap2/pair_000052_000054.pt,1.828125,36864
meetroom,2,54,56,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000054_000056.pt,meetroom/gap2/pair_000054_000056.pt,1.828125,36864
meetroom,2,56,58,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000056_000058.pt,meetroom/gap2/pair_000056_000058.pt,1.828125,36864
meetroom,2,58,60,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000058_000060.pt,meetroom/gap2/pair_000058_000060.pt,1.828125,36864
meetroom,2,60,62,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000060_000062.pt,meetroom/gap2/pair_000060_000062.pt,1.828125,36864
meetroom,2,62,64,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000062_000064.pt,meetroom/gap2/pair_000062_000064.pt,1.828125,36864
meetroom,2,64,66,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000064_000066.pt,meetroom/gap2/pair_000064_000066.pt,1.828125,36864
meetroom,2,66,68,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000066_000068.pt,meetroom/gap2/pair_000066_000068.pt,1.828125,36864
meetroom,2,68,70,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000068_000070.pt,meetroom/gap2/pair_000068_000070.pt,1.828125,36864
meetroom,2,70,72,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000070_000072.pt,meetroom/gap2/pair_000070_000072.pt,1.828125,36864
meetroom,2,72,74,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000072_000074.pt,meetroom/gap2/pair_000072_000074.pt,1.828125,36864
meetroom,2,74,76,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000074_000076.pt,meetroom/gap2/pair_000074_000076.pt,1.828125,36864
meetroom,2,76,78,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000076_000078.pt,meetroom/gap2/pair_000076_000078.pt,1.828125,36864
meetroom,2,78,80,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/meetroom/gap2/pair_000078_000080.pt,meetroom/gap2/pair_000078_000080.pt,1.828125,36864
driving,2,0,2,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000000_000002.pt,driving/gap2/pair_000000_000002.pt,1.828125,36864
driving,2,2,4,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000002_000004.pt,driving/gap2/pair_000002_000004.pt,1.828125,36864
driving,2,4,6,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000004_000006.pt,driving/gap2/pair_000004_000006.pt,1.828125,36864
driving,2,6,8,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000006_000008.pt,driving/gap2/pair_000006_000008.pt,1.828125,36864
driving,2,8,10,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000008_000010.pt,driving/gap2/pair_000008_000010.pt,1.828125,36864
driving,2,10,12,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000010_000012.pt,driving/gap2/pair_000010_000012.pt,1.828125,36864
driving,2,12,14,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000012_000014.pt,driving/gap2/pair_000012_000014.pt,1.828125,36864
driving,2,14,16,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000014_000016.pt,driving/gap2/pair_000014_000016.pt,1.828125,36864
driving,2,16,18,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000016_000018.pt,driving/gap2/pair_000016_000018.pt,1.828125,36864
driving,2,18,20,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000018_000020.pt,driving/gap2/pair_000018_000020.pt,1.828125,36864
driving,2,20,22,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000020_000022.pt,driving/gap2/pair_000020_000022.pt,1.828125,36864
driving,2,22,24,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000022_000024.pt,driving/gap2/pair_000022_000024.pt,1.828125,36864
driving,2,24,26,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000024_000026.pt,driving/gap2/pair_000024_000026.pt,1.828125,36864
driving,2,26,28,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000026_000028.pt,driving/gap2/pair_000026_000028.pt,1.828125,36864
driving,2,28,30,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000028_000030.pt,driving/gap2/pair_000028_000030.pt,1.828125,36864
driving,2,30,32,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000030_000032.pt,driving/gap2/pair_000030_000032.pt,1.828125,36864
driving,2,32,34,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000032_000034.pt,driving/gap2/pair_000032_000034.pt,1.828125,36864
driving,2,34,36,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000034_000036.pt,driving/gap2/pair_000034_000036.pt,1.828125,36864
driving,2,36,38,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000036_000038.pt,driving/gap2/pair_000036_000038.pt,1.828125,36864
driving,2,38,40,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000038_000040.pt,driving/gap2/pair_000038_000040.pt,1.828125,36864
driving,2,40,42,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000040_000042.pt,driving/gap2/pair_000040_000042.pt,1.828125,36864
driving,2,42,44,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000042_000044.pt,driving/gap2/pair_000042_000044.pt,1.828125,36864
driving,2,44,46,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000044_000046.pt,driving/gap2/pair_000044_000046.pt,1.828125,36864
driving,2,46,48,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000046_000048.pt,driving/gap2/pair_000046_000048.pt,1.828125,36864
driving,2,48,50,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000048_000050.pt,driving/gap2/pair_000048_000050.pt,1.828125,36864
driving,2,50,52,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000050_000052.pt,driving/gap2/pair_000050_000052.pt,1.828125,36864
driving,2,52,54,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000052_000054.pt,driving/gap2/pair_000052_000054.pt,1.828125,36864
driving,2,54,56,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000054_000056.pt,driving/gap2/pair_000054_000056.pt,1.828125,36864
driving,2,56,58,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000056_000058.pt,driving/gap2/pair_000056_000058.pt,1.828125,36864
driving,2,58,60,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000058_000060.pt,driving/gap2/pair_000058_000060.pt,1.828125,36864
driving,2,60,62,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000060_000062.pt,driving/gap2/pair_000060_000062.pt,1.828125,36864
driving,2,62,64,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000062_000064.pt,driving/gap2/pair_000062_000064.pt,1.828125,36864
driving,2,64,66,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000064_000066.pt,driving/gap2/pair_000064_000066.pt,1.828125,36864
driving,2,66,68,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000066_000068.pt,driving/gap2/pair_000066_000068.pt,1.828125,36864
driving,2,68,70,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000068_000070.pt,driving/gap2/pair_000068_000070.pt,1.828125,36864
driving,2,70,72,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000070_000072.pt,driving/gap2/pair_000070_000072.pt,1.828125,36864
driving,2,72,74,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000072_000074.pt,driving/gap2/pair_000072_000074.pt,1.828125,36864
driving,2,74,76,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000074_000076.pt,driving/gap2/pair_000074_000076.pt,1.828125,36864
driving,2,76,78,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000076_000078.pt,driving/gap2/pair_000076_000078.pt,1.828125,36864
driving,2,78,80,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/driving/gap2/pair_000078_000080.pt,driving/gap2/pair_000078_000080.pt,1.828125,36864
robot,2,0,2,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/robot/gap2/pair_000000_000002.pt,robot/gap2/pair_000000_000002.pt,1.828125,36864
robot,2,2,4,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/robot/gap2/pair_000002_000004.pt,robot/gap2/pair_000002_000004.pt,1.828125,36864
robot,2,4,6,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/robot/gap2/pair_000004_000006.pt,robot/gap2/pair_000004_000006.pt,1.828125,36864
robot,2,6,8,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/robot/gap2/pair_000006_000008.pt,robot/gap2/pair_000006_000008.pt,1.828125,36864
robot,2,8,10,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/robot/gap2/pair_000008_000010.pt,robot/gap2/pair_000008_000010.pt,1.828125,36864
robot,2,10,12,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/robot/gap2/pair_000010_000012.pt,robot/gap2/pair_000010_000012.pt,1.828125,36864
robot,2,12,14,2,1,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage6_real_anchor_dataset/robot/gap2/pair_000012_000014.pt,robot/gap2/pair_000012_000014.pt,1.828125,36864
