sequence,gap,task_count,selected_count,hard_quality_count,selected_hard_count,high_payload_count,selected_high_payload_count,mean_selector_score,mean_stage158_psnr,mean_stage158_lpips,mean_payload_bytes
india,4,2,0,0,0,1,0,0.21204572916030884,33.462700139889776,0.11926328763365746,217111.5
india,8,2,0,2,0,2,0,0.22282512485980988,31.88570782249907,0.24175602942705154,231995.0
judo,4,2,0,0,0,0,0,0.04349270090460777,30.698786640169807,0.1900617480278015,110466.0
judo,8,2,0,0,0,0,0,0.053478436544537544,31.44494429387607,0.165323868393898,107016.5
kite-surf,4,2,0,0,0,1,0,0.16775760054588318,32.25224322873085,0.10872717574238777,217840.5
kite-surf,8,2,0,0,0,2,0,0.15982680022716522,32.35332219246572,0.09711398929357529,224779.0
lab-coat,4,2,0,0,0,1,0,0.23211472481489182,27.944375558714363,0.19060788303613663,222231.0
lab-coat,8,2,2,0,0,2,2,0.29243022203445435,30.91260099927392,0.14973650872707367,251296.0
libby,4,2,0,0,0,2,0,0.18356473743915558,32.898613450524465,0.16967592388391495,257462.5
libby,8,2,0,0,0,2,0,0.19300676137208939,32.89257021968654,0.17007839679718018,253948.5
loading,4,2,2,0,0,2,2,0.36002764105796814,28.846953000333087,0.14197894930839539,237104.0
loading,8,2,2,0,0,2,2,0.37276509404182434,28.663315632080835,0.1489158794283867,248738.5
mbike-trick,4,2,0,0,0,0,0,0.11741442605853081,30.083299233358154,0.20450755208730698,158045.5
mbike-trick,8,2,0,0,0,0,0,0.13493134081363678,29.803286440679415,0.21493951231241226,187533.5
motocross-jump,4,2,0,2,0,2,0,0.2526096701622009,31.39112051507741,0.3004394471645355,247438.5
motocross-jump,8,2,0,2,0,2,0,0.18514934927225113,31.789745862985278,0.2826654836535454,255678.5
paragliding-launch,4,2,0,0,0,0,0,0.11863715201616287,31.87078173149899,0.17472806572914124,212967.5
paragliding-launch,8,2,0,0,0,1,0,0.13808481395244598,30.591214285891972,0.19095345586538315,215446.0
parkour,4,2,0,0,0,2,0,0.23477070778608322,29.184943856834497,0.18812347948551178,224234.0
parkour,8,2,2,2,2,1,1,0.30019474029541016,25.675775719711684,0.21391336619853973,221249.0
pigs,4,2,0,0,0,0,0,0.1496947631239891,31.700608546143414,0.15198128670454025,179010.5
pigs,8,2,0,0,0,1,0,0.1768590658903122,31.765246232126717,0.1830931007862091,216138.0
scooter-black,4,2,2,0,0,2,2,0.4863615185022354,27.336614518109712,0.13898934423923492,246170.0
scooter-black,8,2,2,2,2,1,1,0.38485287129879,24.813841410881786,0.20478076487779617,221069.5
shooting,4,2,1,0,0,2,1,0.23493603616952896,35.27095662109327,0.13833347707986832,235373.0
shooting,8,2,2,1,1,2,2,0.2757672965526581,33.69752189514591,0.20512058585882187,241836.5
soapbox,4,2,2,0,0,2,2,0.29013362526893616,30.906670800807184,0.12526041641831398,241610.5
soapbox,8,2,1,0,0,1,1,0.2553563416004181,29.583052026280953,0.19517184048891068,233226.5
