parameter,shape,numel,policy,matched_rule,reason
model.decoder.transformer_decoder.transformer.resblocks.1.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.2.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.3.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.4.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.5.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.6.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.7.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.8.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.9.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.layernorm2.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.condition_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.condition_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.gaussian_upsampler.upsampler_0.residual_fc.weight,"[1536, 768]",1179648,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.upsampler_0.residual_fc.bias,[1536],1536,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.0.attn.packed_proj.weight,"[1152, 384]",442368,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.0.attn.packed_proj.bias,[1152],1152,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.0.attn.out_proj.weight,"[384, 384]",147456,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.0.attn.out_proj.bias,[384],384,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.0.layernorm1.weight,[384],384,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.0.mlp.c_fc.weight,"[1536, 384]",589824,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.0.mlp.c_proj.weight,"[384, 1536]",589824,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.0.layernorm2.weight,[384],384,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.1.attn.packed_proj.weight,"[1152, 384]",442368,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.1.attn.packed_proj.bias,[1152],1152,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.1.attn.out_proj.weight,"[384, 384]",147456,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.1.attn.out_proj.bias,[384],384,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.1.layernorm1.weight,[384],384,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.1.mlp.c_fc.weight,"[1536, 384]",589824,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.1.mlp.c_proj.weight,"[384, 1536]",589824,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_0.resblocks.1.layernorm2.weight,[384],384,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.upsampler_1.residual_fc.weight,"[768, 384]",294912,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.upsampler_1.residual_fc.bias,[768],768,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
model.gaussian_upsampler.attention_1.resblocks.0.attn.packed_proj.weight,"[576, 192]",110592,freeze,model.gaussian_upsampler,Shared upsampler; freeze in first smoke to avoid destabilizing static Gaussian features.
