selection,task_id,task_split,sequence,codec,bits,reference_gap,left_index,right_index,target_index,normalized_time,target_rgb_path,left_anchor_source_item,left_anchor_source_side,right_anchor_source_item,right_anchor_source_side
train,stage79_00000217,train,bear,q12,12,4,16,20,17,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00017.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000019_000020.pt,right_anchor
train,stage79_00000218,train,bear,q12,12,4,16,20,18,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00018.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000019_000020.pt,right_anchor
train,stage79_00000219,train,bear,q12,12,4,16,20,19,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00019.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000019_000020.pt,right_anchor
train,stage79_00000220,train,bear,q12,12,4,20,24,21,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00021.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000019_000020.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000023_000024.pt,right_anchor
train,stage79_00000221,train,bear,q12,12,4,20,24,22,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00022.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000019_000020.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000023_000024.pt,right_anchor
train,stage79_00000222,train,bear,q12,12,4,20,24,23,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00023.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000019_000020.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000023_000024.pt,right_anchor
train,stage79_00000223,train,bear,q12,12,4,24,28,25,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00025.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000023_000024.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000027_000028.pt,right_anchor
train,stage79_00000224,train,bear,q12,12,4,24,28,26,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00026.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000023_000024.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000027_000028.pt,right_anchor
train,stage79_00000225,train,bear,q12,12,4,24,28,27,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00027.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000023_000024.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000027_000028.pt,right_anchor
train,stage79_00000226,train,bear,q12,12,4,28,32,29,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00029.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000027_000028.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000031_000032.pt,right_anchor
train,stage79_00000227,train,bear,q12,12,4,28,32,30,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00030.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000027_000028.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000031_000032.pt,right_anchor
train,stage79_00000228,train,bear,q12,12,4,28,32,31,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00031.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000027_000028.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000031_000032.pt,right_anchor
train,stage79_00000229,train,bear,q12,12,4,32,36,33,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00033.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000035_000036.pt,right_anchor
train,stage79_00000230,train,bear,q12,12,4,32,36,34,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00034.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000035_000036.pt,right_anchor
train,stage79_00000231,train,bear,q12,12,4,32,36,35,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00035.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000035_000036.pt,right_anchor
train,stage79_00000232,train,bear,q12,12,4,36,40,37,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00037.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000035_000036.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000039_000040.pt,right_anchor
train,stage79_00000233,train,bear,q12,12,4,36,40,38,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00038.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000035_000036.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000039_000040.pt,right_anchor
train,stage79_00000234,train,bear,q12,12,4,36,40,39,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00039.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000035_000036.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000039_000040.pt,right_anchor
train,stage79_00000235,train,bear,q12,12,4,40,44,41,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00041.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000039_000040.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000043_000044.pt,right_anchor
train,stage79_00000236,train,bear,q12,12,4,40,44,42,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00042.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000039_000040.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000043_000044.pt,right_anchor
train,stage79_00000237,train,bear,q12,12,4,40,44,43,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00043.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000039_000040.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000043_000044.pt,right_anchor
train,stage79_00000238,train,bear,q12,12,4,44,48,45,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00045.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000043_000044.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000047_000048.pt,right_anchor
train,stage79_00000239,train,bear,q12,12,4,44,48,46,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00046.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000043_000044.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000047_000048.pt,right_anchor
train,stage79_00000240,train,bear,q12,12,4,44,48,47,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00047.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000043_000044.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000047_000048.pt,right_anchor
train,stage79_00000241,train,bear,q12,12,4,48,52,49,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00049.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000047_000048.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000051_000052.pt,right_anchor
train,stage79_00000242,train,bear,q12,12,4,48,52,50,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00050.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000047_000048.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000051_000052.pt,right_anchor
train,stage79_00000243,train,bear,q12,12,4,48,52,51,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00051.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000047_000048.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000051_000052.pt,right_anchor
train,stage79_00000244,train,bear,q12,12,4,52,56,53,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00053.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000051_000052.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000055_000056.pt,right_anchor
train,stage79_00000245,train,bear,q12,12,4,52,56,54,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00054.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000051_000052.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000055_000056.pt,right_anchor
train,stage79_00000246,train,bear,q12,12,4,52,56,55,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00055.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000051_000052.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000055_000056.pt,right_anchor
train,stage79_00000247,train,bear,q12,12,4,56,60,57,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00057.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000055_000056.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000059_000060.pt,right_anchor
train,stage79_00000248,train,bear,q12,12,4,56,60,58,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00058.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000055_000056.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000059_000060.pt,right_anchor
train,stage79_00000249,train,bear,q12,12,4,56,60,59,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00059.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000055_000056.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000059_000060.pt,right_anchor
train,stage79_00000250,train,bear,q12,12,4,60,64,61,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00061.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000059_000060.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000063_000064.pt,right_anchor
train,stage79_00000251,train,bear,q12,12,4,60,64,62,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00062.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000059_000060.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000063_000064.pt,right_anchor
train,stage79_00000252,train,bear,q12,12,4,60,64,63,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00063.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000059_000060.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000063_000064.pt,right_anchor
train,stage79_00000253,train,bear,q12,12,4,64,68,65,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00065.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000063_000064.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000067_000068.pt,right_anchor
train,stage79_00000254,train,bear,q12,12,4,64,68,66,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00066.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000063_000064.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000067_000068.pt,right_anchor
train,stage79_00000255,train,bear,q12,12,4,64,68,67,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00067.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000063_000064.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000067_000068.pt,right_anchor
train,stage79_00000256,train,bear,q12,12,4,68,72,69,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00069.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000067_000068.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000071_000072.pt,right_anchor
train,stage79_00000257,train,bear,q12,12,4,68,72,70,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00070.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000067_000068.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000071_000072.pt,right_anchor
train,stage79_00000258,train,bear,q12,12,4,68,72,71,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00071.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000067_000068.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000071_000072.pt,right_anchor
train,stage79_00000259,train,bear,q12,12,4,72,76,73,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00073.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000071_000072.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000075_000076.pt,right_anchor
train,stage79_00000260,train,bear,q12,12,4,72,76,74,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00074.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000071_000072.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000075_000076.pt,right_anchor
