dataset,split,sequence,gap,frame_count,pair_count,unique_anchor_count,estimated_pair_pt_mib,estimated_dedup_static_anchor_mib,ready_for_anchor_export
DAVIS,train,drone,16,91,6,7,10.96875,6.3984375,true
DAVIS,train,elephant,1,80,79,80,144.421875,73.125,true
DAVIS,train,elephant,2,80,40,41,73.125,37.4765625,true
DAVIS,train,elephant,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,elephant,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,elephant,16,80,5,6,9.140625,5.484375,true
DAVIS,train,flamingo,1,80,79,80,144.421875,73.125,true
DAVIS,train,flamingo,2,80,40,41,73.125,37.4765625,true
DAVIS,train,flamingo,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,flamingo,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,flamingo,16,80,5,6,9.140625,5.484375,true
DAVIS,train,hike,1,80,79,80,144.421875,73.125,true
DAVIS,train,hike,2,80,40,41,73.125,37.4765625,true
DAVIS,train,hike,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,hike,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,hike,16,80,5,6,9.140625,5.484375,true
DAVIS,train,hockey,1,75,74,75,135.28125,68.5546875,true
DAVIS,train,hockey,2,75,37,38,67.640625,34.734375,true
DAVIS,train,hockey,4,75,19,20,34.734375,18.28125,true
DAVIS,train,hockey,8,75,10,11,18.28125,10.0546875,true
DAVIS,train,hockey,16,75,5,6,9.140625,5.484375,true
DAVIS,train,horsejump-low,1,60,59,60,107.859375,54.84375,true
DAVIS,train,horsejump-low,2,60,30,31,54.84375,28.3359375,true
DAVIS,train,horsejump-low,4,60,15,16,27.421875,14.625,true
DAVIS,train,horsejump-low,8,60,8,9,14.625,8.2265625,true
DAVIS,train,horsejump-low,16,60,4,5,7.3125,4.5703125,true
DAVIS,train,kid-football,1,68,67,68,122.484375,62.15625,true
DAVIS,train,kid-football,2,68,34,35,62.15625,31.9921875,true
DAVIS,train,kid-football,4,68,17,18,31.078125,16.453125,true
DAVIS,train,kid-football,8,68,9,10,16.453125,9.140625,true
DAVIS,train,kid-football,16,68,5,6,9.140625,5.484375,true
DAVIS,train,kite-walk,1,80,79,80,144.421875,73.125,true
DAVIS,train,kite-walk,2,80,40,41,73.125,37.4765625,true
DAVIS,train,kite-walk,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,kite-walk,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,kite-walk,16,80,5,6,9.140625,5.484375,true
DAVIS,train,koala,1,100,99,100,180.984375,91.40625,true
DAVIS,train,koala,2,100,50,51,91.40625,46.6171875,true
DAVIS,train,koala,4,100,25,26,45.703125,23.765625,true
DAVIS,train,koala,8,100,13,14,23.765625,12.796875,true
DAVIS,train,koala,16,100,7,8,12.796875,7.3125,true
DAVIS,train,lady-running,1,65,64,65,117.0,59.4140625,true
DAVIS,train,lady-running,2,65,32,33,58.5,30.1640625,true
DAVIS,train,lady-running,4,65,16,17,29.25,15.5390625,true
DAVIS,train,lady-running,8,65,8,9,14.625,8.2265625,true
DAVIS,train,lady-running,16,65,4,5,7.3125,4.5703125,true
DAVIS,train,lindy-hop,1,73,72,73,131.625,66.7265625,true
DAVIS,train,lindy-hop,2,73,36,37,65.8125,33.8203125,true
DAVIS,train,lindy-hop,4,73,18,19,32.90625,17.3671875,true
DAVIS,train,lindy-hop,8,73,9,10,16.453125,9.140625,true
DAVIS,train,lindy-hop,16,73,5,6,9.140625,5.484375,true
DAVIS,train,longboard,1,52,51,52,93.234375,47.53125,true
DAVIS,train,longboard,2,52,26,27,47.53125,24.6796875,true
DAVIS,train,longboard,4,52,13,14,23.765625,12.796875,true
DAVIS,train,longboard,8,52,7,8,12.796875,7.3125,true
DAVIS,train,longboard,16,52,4,5,7.3125,4.5703125,true
DAVIS,train,lucia,1,70,69,70,126.140625,63.984375,true
DAVIS,train,lucia,2,70,35,36,63.984375,32.90625,true
DAVIS,train,lucia,4,70,18,19,32.90625,17.3671875,true
DAVIS,train,lucia,8,70,9,10,16.453125,9.140625,true
DAVIS,train,lucia,16,70,5,6,9.140625,5.484375,true
DAVIS,train,mallard-fly,1,70,69,70,126.140625,63.984375,true
DAVIS,train,mallard-fly,2,70,35,36,63.984375,32.90625,true
DAVIS,train,mallard-fly,4,70,18,19,32.90625,17.3671875,true
DAVIS,train,mallard-fly,8,70,9,10,16.453125,9.140625,true
DAVIS,train,mallard-fly,16,70,5,6,9.140625,5.484375,true
DAVIS,train,mallard-water,1,80,79,80,144.421875,73.125,true
DAVIS,train,mallard-water,2,80,40,41,73.125,37.4765625,true
DAVIS,train,mallard-water,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,mallard-water,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,mallard-water,16,80,5,6,9.140625,5.484375,true
DAVIS,train,miami-surf,1,70,69,70,126.140625,63.984375,true
DAVIS,train,miami-surf,2,70,35,36,63.984375,32.90625,true
DAVIS,train,miami-surf,4,70,18,19,32.90625,17.3671875,true
DAVIS,train,miami-surf,8,70,9,10,16.453125,9.140625,true
DAVIS,train,miami-surf,16,70,5,6,9.140625,5.484375,true
DAVIS,train,motocross-bumps,1,60,59,60,107.859375,54.84375,true
DAVIS,train,motocross-bumps,2,60,30,31,54.84375,28.3359375,true
DAVIS,train,motocross-bumps,4,60,15,16,27.421875,14.625,true
DAVIS,train,motocross-bumps,8,60,8,9,14.625,8.2265625,true
DAVIS,train,motocross-bumps,16,60,4,5,7.3125,4.5703125,true
DAVIS,train,motorbike,1,43,42,43,76.78125,39.3046875,true
DAVIS,train,motorbike,2,43,21,22,38.390625,20.109375,true
DAVIS,train,motorbike,4,43,11,12,20.109375,10.96875,true
DAVIS,train,motorbike,8,43,6,7,10.96875,6.3984375,true
DAVIS,train,motorbike,16,43,3,4,5.484375,3.65625,true
DAVIS,train,night-race,1,46,45,46,82.265625,42.046875,true
DAVIS,train,night-race,2,46,23,24,42.046875,21.9375,true
DAVIS,train,night-race,4,46,12,13,21.9375,11.8828125,true
DAVIS,train,night-race,8,46,6,7,10.96875,6.3984375,true
DAVIS,train,night-race,16,46,3,4,5.484375,3.65625,true
DAVIS,train,paragliding,1,70,69,70,126.140625,63.984375,true
DAVIS,train,paragliding,2,70,35,36,63.984375,32.90625,true
DAVIS,train,paragliding,4,70,18,19,32.90625,17.3671875,true
DAVIS,train,paragliding,8,70,9,10,16.453125,9.140625,true
DAVIS,train,paragliding,16,70,5,6,9.140625,5.484375,true
DAVIS,train,planes-water,1,38,37,38,67.640625,34.734375,true
DAVIS,train,planes-water,2,38,19,20,34.734375,18.28125,true
DAVIS,train,planes-water,4,38,10,11,18.28125,10.0546875,true
DAVIS,train,planes-water,8,38,5,6,9.140625,5.484375,true
DAVIS,train,planes-water,16,38,3,4,5.484375,3.65625,true
DAVIS,train,rallye,1,50,49,50,89.578125,45.703125,true
DAVIS,train,rallye,2,50,25,26,45.703125,23.765625,true
DAVIS,train,rallye,4,50,13,14,23.765625,12.796875,true
DAVIS,train,rallye,8,50,7,8,12.796875,7.3125,true
DAVIS,train,rallye,16,50,4,5,7.3125,4.5703125,true
DAVIS,train,rhino,1,90,89,90,162.703125,82.265625,true
DAVIS,train,rhino,2,90,45,46,82.265625,42.046875,true
DAVIS,train,rhino,4,90,23,24,42.046875,21.9375,true
DAVIS,train,rhino,8,90,12,13,21.9375,11.8828125,true
DAVIS,train,rhino,16,90,6,7,10.96875,6.3984375,true
DAVIS,train,rollerblade,1,35,34,35,62.15625,31.9921875,true
DAVIS,train,rollerblade,2,35,17,18,31.078125,16.453125,true
DAVIS,train,rollerblade,4,35,9,10,16.453125,9.140625,true
DAVIS,train,rollerblade,8,35,5,6,9.140625,5.484375,true
DAVIS,train,rollerblade,16,35,3,4,5.484375,3.65625,true
DAVIS,train,schoolgirls,1,80,79,80,144.421875,73.125,true
DAVIS,train,schoolgirls,2,80,40,41,73.125,37.4765625,true
DAVIS,train,schoolgirls,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,schoolgirls,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,schoolgirls,16,80,5,6,9.140625,5.484375,true
DAVIS,train,scooter-board,1,91,90,91,164.53125,83.1796875,true
DAVIS,train,scooter-board,2,91,45,46,82.265625,42.046875,true
DAVIS,train,scooter-board,4,91,23,24,42.046875,21.9375,true
DAVIS,train,scooter-board,8,91,12,13,21.9375,11.8828125,true
DAVIS,train,scooter-board,16,91,6,7,10.96875,6.3984375,true
DAVIS,train,scooter-gray,1,75,74,75,135.28125,68.5546875,true
DAVIS,train,scooter-gray,2,75,37,38,67.640625,34.734375,true
DAVIS,train,scooter-gray,4,75,19,20,34.734375,18.28125,true
DAVIS,train,scooter-gray,8,75,10,11,18.28125,10.0546875,true
DAVIS,train,scooter-gray,16,75,5,6,9.140625,5.484375,true
DAVIS,train,sheep,1,68,67,68,122.484375,62.15625,true
DAVIS,train,sheep,2,68,34,35,62.15625,31.9921875,true
DAVIS,train,sheep,4,68,17,18,31.078125,16.453125,true
DAVIS,train,sheep,8,68,9,10,16.453125,9.140625,true
DAVIS,train,sheep,16,68,5,6,9.140625,5.484375,true
DAVIS,train,skate-park,1,80,79,80,144.421875,73.125,true
DAVIS,train,skate-park,2,80,40,41,73.125,37.4765625,true
DAVIS,train,skate-park,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,skate-park,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,skate-park,16,80,5,6,9.140625,5.484375,true
DAVIS,train,snowboard,1,66,65,66,118.828125,60.328125,true
DAVIS,train,snowboard,2,66,33,34,60.328125,31.078125,true
DAVIS,train,snowboard,4,66,17,18,31.078125,16.453125,true
DAVIS,train,snowboard,8,66,9,10,16.453125,9.140625,true
DAVIS,train,snowboard,16,66,5,6,9.140625,5.484375,true
DAVIS,train,soccerball,1,48,47,48,85.921875,43.875,true
DAVIS,train,soccerball,2,48,24,25,43.875,22.8515625,true
DAVIS,train,soccerball,4,48,12,13,21.9375,11.8828125,true
DAVIS,train,soccerball,8,48,6,7,10.96875,6.3984375,true
DAVIS,train,soccerball,16,48,3,4,5.484375,3.65625,true
DAVIS,train,stroller,1,91,90,91,164.53125,83.1796875,true
DAVIS,train,stroller,2,91,45,46,82.265625,42.046875,true
DAVIS,train,stroller,4,91,23,24,42.046875,21.9375,true
DAVIS,train,stroller,8,91,12,13,21.9375,11.8828125,true
DAVIS,train,stroller,16,91,6,7,10.96875,6.3984375,true
DAVIS,train,stunt,1,71,70,71,127.96875,64.8984375,true
DAVIS,train,stunt,2,71,35,36,63.984375,32.90625,true
DAVIS,train,stunt,4,71,18,19,32.90625,17.3671875,true
DAVIS,train,stunt,8,71,9,10,16.453125,9.140625,true
DAVIS,train,stunt,16,71,5,6,9.140625,5.484375,true
DAVIS,train,surf,1,55,54,55,98.71875,50.2734375,true
DAVIS,train,surf,2,55,27,28,49.359375,25.59375,true
DAVIS,train,surf,4,55,14,15,25.59375,13.7109375,true
DAVIS,train,surf,8,55,7,8,12.796875,7.3125,true
DAVIS,train,surf,16,55,4,5,7.3125,4.5703125,true
DAVIS,train,swing,1,60,59,60,107.859375,54.84375,true
DAVIS,train,swing,2,60,30,31,54.84375,28.3359375,true
DAVIS,train,swing,4,60,15,16,27.421875,14.625,true
DAVIS,train,swing,8,60,8,9,14.625,8.2265625,true
DAVIS,train,swing,16,60,4,5,7.3125,4.5703125,true
DAVIS,train,tennis,1,70,69,70,126.140625,63.984375,true
DAVIS,train,tennis,2,70,35,36,63.984375,32.90625,true
DAVIS,train,tennis,4,70,18,19,32.90625,17.3671875,true
DAVIS,train,tennis,8,70,9,10,16.453125,9.140625,true
DAVIS,train,tennis,16,70,5,6,9.140625,5.484375,true
DAVIS,train,tractor-sand,1,76,75,76,137.109375,69.46875,true
DAVIS,train,tractor-sand,2,76,38,39,69.46875,35.6484375,true
DAVIS,train,tractor-sand,4,76,19,20,34.734375,18.28125,true
DAVIS,train,tractor-sand,8,76,10,11,18.28125,10.0546875,true
DAVIS,train,tractor-sand,16,76,5,6,9.140625,5.484375,true
DAVIS,train,train,1,80,79,80,144.421875,73.125,true
DAVIS,train,train,2,80,40,41,73.125,37.4765625,true
DAVIS,train,train,4,80,20,21,36.5625,19.1953125,true
DAVIS,train,train,8,80,10,11,18.28125,10.0546875,true
DAVIS,train,train,16,80,5,6,9.140625,5.484375,true
DAVIS,train,tuk-tuk,1,59,58,59,106.03125,53.9296875,true
DAVIS,train,tuk-tuk,2,59,29,30,53.015625,27.421875,true
DAVIS,train,tuk-tuk,4,59,15,16,27.421875,14.625,true
DAVIS,train,tuk-tuk,8,59,8,9,14.625,8.2265625,true
DAVIS,train,tuk-tuk,16,59,4,5,7.3125,4.5703125,true
DAVIS,train,upside-down,1,65,64,65,117.0,59.4140625,true
DAVIS,train,upside-down,2,65,32,33,58.5,30.1640625,true
DAVIS,train,upside-down,4,65,16,17,29.25,15.5390625,true
DAVIS,train,upside-down,8,65,8,9,14.625,8.2265625,true
DAVIS,train,upside-down,16,65,4,5,7.3125,4.5703125,true
DAVIS,train,varanus-cage,1,67,66,67,120.65625,61.2421875,true
DAVIS,train,varanus-cage,2,67,33,34,60.328125,31.078125,true
DAVIS,train,varanus-cage,4,67,17,18,31.078125,16.453125,true
DAVIS,train,varanus-cage,8,67,9,10,16.453125,9.140625,true
DAVIS,train,varanus-cage,16,67,5,6,9.140625,5.484375,true
DAVIS,train,walking,1,72,71,72,129.796875,65.8125,true
DAVIS,train,walking,2,72,36,37,65.8125,33.8203125,true
DAVIS,train,walking,4,72,18,19,32.90625,17.3671875,true
DAVIS,train,walking,8,72,9,10,16.453125,9.140625,true
DAVIS,train,walking,16,72,5,6,9.140625,5.484375,true
DAVIS,val,bike-packing,1,69,68,69,124.3125,63.0703125,true
DAVIS,val,bike-packing,2,69,34,35,62.15625,31.9921875,true
DAVIS,val,bike-packing,4,69,17,18,31.078125,16.453125,true
DAVIS,val,bike-packing,8,69,9,10,16.453125,9.140625,true
DAVIS,val,bike-packing,16,69,5,6,9.140625,5.484375,true
DAVIS,val,blackswan,1,50,49,50,89.578125,45.703125,true
DAVIS,val,blackswan,2,50,25,26,45.703125,23.765625,true
DAVIS,val,blackswan,4,50,13,14,23.765625,12.796875,true
DAVIS,val,blackswan,8,50,7,8,12.796875,7.3125,true
DAVIS,val,blackswan,16,50,4,5,7.3125,4.5703125,true
DAVIS,val,bmx-trees,1,80,79,80,144.421875,73.125,true
DAVIS,val,bmx-trees,2,80,40,41,73.125,37.4765625,true
DAVIS,val,bmx-trees,4,80,20,21,36.5625,19.1953125,true
DAVIS,val,bmx-trees,8,80,10,11,18.28125,10.0546875,true
DAVIS,val,bmx-trees,16,80,5,6,9.140625,5.484375,true
DAVIS,val,breakdance,1,84,83,84,151.734375,76.78125,true
DAVIS,val,breakdance,2,84,42,43,76.78125,39.3046875,true
DAVIS,val,breakdance,4,84,21,22,38.390625,20.109375,true
DAVIS,val,breakdance,8,84,11,12,20.109375,10.96875,true
DAVIS,val,breakdance,16,84,6,7,10.96875,6.3984375,true
DAVIS,val,camel,1,90,89,90,162.703125,82.265625,true
DAVIS,val,camel,2,90,45,46,82.265625,42.046875,true
DAVIS,val,camel,4,90,23,24,42.046875,21.9375,true
DAVIS,val,camel,8,90,12,13,21.9375,11.8828125,true
DAVIS,val,camel,16,90,6,7,10.96875,6.3984375,true
DAVIS,val,car-roundabout,1,75,74,75,135.28125,68.5546875,true
DAVIS,val,car-roundabout,2,75,37,38,67.640625,34.734375,true
DAVIS,val,car-roundabout,4,75,19,20,34.734375,18.28125,true
DAVIS,val,car-roundabout,8,75,10,11,18.28125,10.0546875,true
DAVIS,val,car-roundabout,16,75,5,6,9.140625,5.484375,true
DAVIS,val,car-shadow,1,40,39,40,71.296875,36.5625,true
DAVIS,val,car-shadow,2,40,20,21,36.5625,19.1953125,true
DAVIS,val,car-shadow,4,40,10,11,18.28125,10.0546875,true
DAVIS,val,car-shadow,8,40,5,6,9.140625,5.484375,true
DAVIS,val,car-shadow,16,40,3,4,5.484375,3.65625,true
DAVIS,val,cows,1,104,103,104,188.296875,95.0625,true
DAVIS,val,cows,2,104,52,53,95.0625,48.4453125,true
DAVIS,val,cows,4,104,26,27,47.53125,24.6796875,true
DAVIS,val,cows,8,104,13,14,23.765625,12.796875,true
DAVIS,val,cows,16,104,7,8,12.796875,7.3125,true
DAVIS,val,dance-twirl,1,90,89,90,162.703125,82.265625,true
DAVIS,val,dance-twirl,2,90,45,46,82.265625,42.046875,true
DAVIS,val,dance-twirl,4,90,23,24,42.046875,21.9375,true
DAVIS,val,dance-twirl,8,90,12,13,21.9375,11.8828125,true
DAVIS,val,dance-twirl,16,90,6,7,10.96875,6.3984375,true
DAVIS,val,dog,1,60,59,60,107.859375,54.84375,true
DAVIS,val,dog,2,60,30,31,54.84375,28.3359375,true
DAVIS,val,dog,4,60,15,16,27.421875,14.625,true
DAVIS,val,dog,8,60,8,9,14.625,8.2265625,true
DAVIS,val,dog,16,60,4,5,7.3125,4.5703125,true
DAVIS,val,dogs-jump,1,66,65,66,118.828125,60.328125,true
DAVIS,val,dogs-jump,2,66,33,34,60.328125,31.078125,true
DAVIS,val,dogs-jump,4,66,17,18,31.078125,16.453125,true
DAVIS,val,dogs-jump,8,66,9,10,16.453125,9.140625,true
DAVIS,val,dogs-jump,16,66,5,6,9.140625,5.484375,true
DAVIS,val,drift-chicane,1,52,51,52,93.234375,47.53125,true
DAVIS,val,drift-chicane,2,52,26,27,47.53125,24.6796875,true
DAVIS,val,drift-chicane,4,52,13,14,23.765625,12.796875,true
DAVIS,val,drift-chicane,8,52,7,8,12.796875,7.3125,true
DAVIS,val,drift-chicane,16,52,4,5,7.3125,4.5703125,true
DAVIS,val,drift-straight,1,50,49,50,89.578125,45.703125,true
DAVIS,val,drift-straight,2,50,25,26,45.703125,23.765625,true
DAVIS,val,drift-straight,4,50,13,14,23.765625,12.796875,true
DAVIS,val,drift-straight,8,50,7,8,12.796875,7.3125,true
DAVIS,val,drift-straight,16,50,4,5,7.3125,4.5703125,true
DAVIS,val,goat,1,90,89,90,162.703125,82.265625,true
DAVIS,val,goat,2,90,45,46,82.265625,42.046875,true
DAVIS,val,goat,4,90,23,24,42.046875,21.9375,true
DAVIS,val,goat,8,90,12,13,21.9375,11.8828125,true
DAVIS,val,goat,16,90,6,7,10.96875,6.3984375,true
DAVIS,val,gold-fish,1,78,77,78,140.765625,71.296875,true
DAVIS,val,gold-fish,2,78,39,40,71.296875,36.5625,true
DAVIS,val,gold-fish,4,78,20,21,36.5625,19.1953125,true
DAVIS,val,gold-fish,8,78,10,11,18.28125,10.0546875,true
DAVIS,val,gold-fish,16,78,5,6,9.140625,5.484375,true
DAVIS,val,horsejump-high,1,50,49,50,89.578125,45.703125,true
DAVIS,val,horsejump-high,2,50,25,26,45.703125,23.765625,true
DAVIS,val,horsejump-high,4,50,13,14,23.765625,12.796875,true
DAVIS,val,horsejump-high,8,50,7,8,12.796875,7.3125,true
DAVIS,val,horsejump-high,16,50,4,5,7.3125,4.5703125,true
DAVIS,val,india,1,81,80,81,146.25,74.0390625,true
DAVIS,val,india,2,81,40,41,73.125,37.4765625,true
DAVIS,val,india,4,81,20,21,36.5625,19.1953125,true
DAVIS,val,india,8,81,10,11,18.28125,10.0546875,true
DAVIS,val,india,16,81,5,6,9.140625,5.484375,true
DAVIS,val,judo,1,34,33,34,60.328125,31.078125,true
DAVIS,val,judo,2,34,17,18,31.078125,16.453125,true
DAVIS,val,judo,4,34,9,10,16.453125,9.140625,true
DAVIS,val,judo,8,34,5,6,9.140625,5.484375,true
DAVIS,val,judo,16,34,3,4,5.484375,3.65625,true
DAVIS,val,kite-surf,1,50,49,50,89.578125,45.703125,true
DAVIS,val,kite-surf,2,50,25,26,45.703125,23.765625,true
DAVIS,val,kite-surf,4,50,13,14,23.765625,12.796875,true
DAVIS,val,kite-surf,8,50,7,8,12.796875,7.3125,true
DAVIS,val,kite-surf,16,50,4,5,7.3125,4.5703125,true
DAVIS,val,lab-coat,1,47,46,47,84.09375,42.9609375,true
DAVIS,val,lab-coat,2,47,23,24,42.046875,21.9375,true
DAVIS,val,lab-coat,4,47,12,13,21.9375,11.8828125,true
DAVIS,val,lab-coat,8,47,6,7,10.96875,6.3984375,true
DAVIS,val,lab-coat,16,47,3,4,5.484375,3.65625,true
DAVIS,val,libby,1,49,48,49,87.75,44.7890625,true
DAVIS,val,libby,2,49,24,25,43.875,22.8515625,true
DAVIS,val,libby,4,49,12,13,21.9375,11.8828125,true
DAVIS,val,libby,8,49,6,7,10.96875,6.3984375,true
DAVIS,val,libby,16,49,3,4,5.484375,3.65625,true
DAVIS,val,loading,1,50,49,50,89.578125,45.703125,true
DAVIS,val,loading,2,50,25,26,45.703125,23.765625,true
DAVIS,val,loading,4,50,13,14,23.765625,12.796875,true
DAVIS,val,loading,8,50,7,8,12.796875,7.3125,true
DAVIS,val,loading,16,50,4,5,7.3125,4.5703125,true
DAVIS,val,mbike-trick,1,79,78,79,142.59375,72.2109375,true
DAVIS,val,mbike-trick,2,79,39,40,71.296875,36.5625,true
DAVIS,val,mbike-trick,4,79,20,21,36.5625,19.1953125,true
DAVIS,val,mbike-trick,8,79,10,11,18.28125,10.0546875,true
