dataset,split,sequence,frame_count,depth_count,mask_count,ready_for_anchor_export,image_dir,depth_dir,mask_dir
DAVIS,train,lucia,70,70,70,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/lucia,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/lucia,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/lucia
DAVIS,train,mallard-fly,70,70,70,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/mallard-fly,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/mallard-fly,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/mallard-fly
DAVIS,train,mallard-water,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/mallard-water,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/mallard-water,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/mallard-water
DAVIS,train,miami-surf,70,70,70,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/miami-surf,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/miami-surf,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/miami-surf
DAVIS,train,motocross-bumps,60,60,60,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/motocross-bumps,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/motocross-bumps,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/motocross-bumps
DAVIS,train,motorbike,43,43,43,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/motorbike,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/motorbike,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/motorbike
DAVIS,train,night-race,46,46,46,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/night-race,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/night-race,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/night-race
DAVIS,train,paragliding,70,70,70,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/paragliding,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/paragliding,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/paragliding
DAVIS,train,planes-water,38,38,38,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/planes-water,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/planes-water,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/planes-water
DAVIS,train,rallye,50,50,50,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/rallye,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/rallye,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/rallye
DAVIS,train,rhino,90,90,90,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/rhino,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/rhino,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/rhino
DAVIS,train,rollerblade,35,35,35,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/rollerblade,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/rollerblade,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/rollerblade
DAVIS,train,schoolgirls,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/schoolgirls,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/schoolgirls,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/schoolgirls
DAVIS,train,scooter-board,91,91,91,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/scooter-board,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/scooter-board,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/scooter-board
DAVIS,train,scooter-gray,75,75,75,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/scooter-gray,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/scooter-gray,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/scooter-gray
DAVIS,train,sheep,68,68,68,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/sheep,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/sheep,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/sheep
DAVIS,train,skate-park,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/skate-park,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/skate-park,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/skate-park
DAVIS,train,snowboard,66,66,66,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/snowboard,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/snowboard,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/snowboard
DAVIS,train,soccerball,48,48,48,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/soccerball,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/soccerball,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/soccerball
DAVIS,train,stroller,91,91,91,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/stroller,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/stroller,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/stroller
DAVIS,train,stunt,71,71,71,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/stunt,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/stunt,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/stunt
DAVIS,train,surf,55,55,55,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/surf,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/surf,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/surf
DAVIS,train,swing,60,60,60,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/swing,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/swing,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/swing
DAVIS,train,tennis,70,70,70,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/tennis,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/tennis,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/tennis
DAVIS,train,tractor-sand,76,76,76,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/tractor-sand,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/tractor-sand,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/tractor-sand
DAVIS,train,train,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/train,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/train,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/train
DAVIS,train,tuk-tuk,59,59,59,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/tuk-tuk,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/tuk-tuk,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/tuk-tuk
DAVIS,train,upside-down,65,65,65,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/upside-down,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/upside-down,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/upside-down
DAVIS,train,varanus-cage,67,67,67,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/varanus-cage,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/varanus-cage,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/varanus-cage
DAVIS,train,walking,72,72,72,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/walking,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/walking,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/walking
DAVIS,val,bike-packing,69,69,69,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bike-packing,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/bike-packing,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/bike-packing
DAVIS,val,blackswan,50,50,50,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/blackswan,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/blackswan,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/blackswan
DAVIS,val,bmx-trees,80,80,80,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bmx-trees,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/bmx-trees,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/bmx-trees
DAVIS,val,breakdance,84,84,84,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/breakdance,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/breakdance,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/breakdance
DAVIS,val,camel,90,90,90,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/camel,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/camel,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/camel
DAVIS,val,car-roundabout,75,75,75,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/car-roundabout,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/car-roundabout,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/car-roundabout
DAVIS,val,car-shadow,40,40,40,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/car-shadow,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/car-shadow,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/car-shadow
DAVIS,val,cows,104,104,104,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/cows,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/cows,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/cows
DAVIS,val,dance-twirl,90,90,90,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/dance-twirl,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/dance-twirl,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/dance-twirl
DAVIS,val,dog,60,60,60,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/dog,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/dog,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/dog
DAVIS,val,dogs-jump,66,66,66,true,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/dogs-jump,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/depthImages/Full-Resolution/dogs-jump,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/Annotations_unsupervised/Full-Resolution/dogs-jump
