sample,method,reference_gap,bits,codec_variant,rate_scope,rate_mib_per_frame,all_psnr,linear_all_psnr,adapter_all_psnr,total_frames,keyframe_count,source_rate_table,notes
n3dv,rendered_prior_0p1,1,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.4652730918224947,33.82014481890842,33.82014481890842,33.82014481890842,81,81,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,1,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.5712890625,33.82014481890842,33.82014481890842,33.82014481890842,81,81,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,1,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.9146603242850598,34.40694139540215,34.40694139540215,34.40694139540215,81,81,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,1,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.5261429092030466,34.40694139540215,34.40694139540215,34.40694139540215,81,81,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,1,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.685546875,34.40694139540215,34.40694139540215,34.40694139540215,81,81,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,1,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.9146653163580247,34.44643135630639,34.44643135630639,34.44643135630639,81,81,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,1,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.6181666174052675,34.44643135630639,34.44643135630639,34.44643135630639,81,81,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,1,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.9140625,34.44643135630639,34.44643135630639,34.44643135630639,81,81,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,2,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.2316327153900523,30.628127521890942,30.508640245840535,30.628127521890942,81,41,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,2,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.15272452507489992,30.628127521890942,30.508640245840535,30.628127521890942,81,41,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,2,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.23133680555555555,30.628127521890942,30.508640245840535,30.628127521890942,81,41,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,2,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.46297473671995565,33.473680809218656,33.58287519751239,33.473680809218656,81,41,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,2,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.2355223055239077,33.473680809218656,33.58287519751239,33.473680809218656,81,41,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,2,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.2891710069444444,33.473680809218656,33.58287519751239,33.473680809218656,81,41,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,2,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.46297660874731744,33.92885735535585,34.12392741863556,33.92885735535585,81,41,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,2,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.26633025981761793,33.92885735535585,34.12392741863556,33.92885735535585,81,41,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,2,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.3470052083333333,33.92885735535585,34.12392741863556,33.92885735535585,81,41,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,2,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.4629793049376688,33.95865713385019,34.16029581999595,33.95865713385019,81,41,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,2,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.3129082785712348,33.95865713385019,34.16029581999595,33.95865713385019,81,41,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,2,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.4626736111111111,33.95865713385019,34.16029581999595,33.95865713385019,81,41,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,2,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.2316327153900523,30.628127521890942,30.508640245840535,30.628127521890942,81,41,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,2,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.15272452507489992,30.628127521890942,30.508640245840535,30.628127521890942,81,41,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,2,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.23133680555555555,30.628127521890942,30.508640245840535,30.628127521890942,81,41,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,2,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.46297473671995565,33.473680809218656,33.58287519751239,33.473680809218656,81,41,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,2,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.2355223055239077,33.473680809218656,33.58287519751239,33.473680809218656,81,41,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,2,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.2891710069444444,33.473680809218656,33.58287519751239,33.473680809218656,81,41,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,2,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.46297660874731744,33.92885735535585,34.12392741863556,33.92885735535585,81,41,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,2,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.26633025981761793,33.92885735535585,34.12392741863556,33.92885735535585,81,41,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,2,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.3470052083333333,33.92885735535585,34.12392741863556,33.92885735535585,81,41,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,2,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.4629793049376688,33.95865713385019,34.16029581999595,33.95865713385019,81,41,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,2,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.3129082785712348,33.95865713385019,34.16029581999595,33.95865713385019,81,41,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,2,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.4626736111111111,33.95865713385019,34.16029581999595,33.95865713385019,81,41,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,3,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.15818863150514204,30.548358487675863,30.392385707675764,30.548358487675863,81,28,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,3,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.10429403516981336,30.548358487675863,30.392385707675764,30.548358487675863,81,28,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,3,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.1579861111111111,30.548358487675863,30.392385707675764,30.548358487675863,81,28,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,3,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.3161785219922478,33.209870217129506,33.338993479484884,33.209870217129506,81,28,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,3,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.160827624944993,33.209870217129506,33.338993479484884,33.209870217129506,81,28,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,3,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.1974826388888889,33.209870217129506,33.338993479484884,33.209870217129506,81,28,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,3,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.316179852426788,33.61122995813421,33.84600843941215,33.61122995813421,81,28,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,3,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.18187326266441817,33.61122995813421,33.84600843941215,33.61122995813421,81,28,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,3,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.23697916666666666,33.61122995813421,33.84600843941215,33.61122995813421,81,28,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,3,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.31618155962155187,33.63693124372124,33.87972844342753,33.63693124372124,81,28,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,3,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.21368636614010658,33.63693124372124,33.87972844342753,33.63693124372124,81,28,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,3,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.3159722222222222,33.63693124372124,33.87972844342753,33.63693124372124,81,28,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,3,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.15818844312503014,30.557429118219055,30.399343497042274,30.557429118219055,81,28,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,3,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.10429304617422598,30.557429118219055,30.399343497042274,30.557429118219055,81,28,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,3,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.1579861111111111,30.557429118219055,30.399343497042274,30.557429118219055,81,28,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,3,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.316178109910753,33.21536212263464,33.343204169582044,33.21536212263464,81,28,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,3,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.1608350188643844,33.21536212263464,33.343204169582044,33.21536212263464,81,28,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,3,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.1974826388888889,33.21536212263464,33.343204169582044,33.21536212263464,81,28,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,3,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.31617952276159217,33.621455708465405,33.8556264865726,33.621455708465405,81,28,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,3,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.18188451837610314,33.621455708465405,33.8556264865726,33.621455708465405,81,28,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,3,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.23697916666666666,33.621455708465405,33.8556264865726,33.621455708465405,81,28,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,3,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.31618137124144,33.64698774387966,33.88912431703397,33.64698774387966,81,28,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,3,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.21368847364260826,33.64698774387966,33.88912431703397,33.64698774387966,81,28,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,3,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.3159722222222222,33.64698774387966,33.88912431703397,33.64698774387966,81,28,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,4,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.1186414177035108,30.429613143857733,30.2620931976309,30.429613143857733,81,21,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,4,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.07822980998474875,30.429613143857733,30.2620931976309,30.429613143857733,81,21,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,4,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.11848958333333333,30.429613143857733,30.2620931976309,30.429613143857733,81,21,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,4,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.23713387383355033,32.93621780699139,33.08025956952547,32.93621780699139,81,21,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,4,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.12064874908070505,32.93621780699139,33.08025956952547,32.93621780699139,81,21,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,4,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.14811197916666666,32.93621780699139,33.08025956952547,32.93621780699139,81,21,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,4,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.2371348981504087,33.300150239201145,33.55706872176647,33.300150239201145,81,21,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,4,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.13641672958562404,33.300150239201145,33.55706872176647,33.300150239201145,81,21,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,4,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.177734375,33.300150239201145,33.55706872176647,33.300150239201145,81,21,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,4,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.2371362168111919,33.32384010413923,33.58927181448525,33.32384010413923,81,21,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,4,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.1602832888379509,33.32384010413923,33.58927181448525,33.32384010413923,81,21,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,4,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.23697916666666666,33.32384010413923,33.58927181448525,33.32384010413923,81,21,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,4,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.1186414177035108,30.429613143857733,30.2620931976309,30.429613143857733,81,21,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,4,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.07822980998474875,30.429613143857733,30.2620931976309,30.429613143857733,81,21,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,4,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.11848958333333333,30.429613143857733,30.2620931976309,30.429613143857733,81,21,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,4,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.23713387383355033,32.93621780699139,33.08025956952547,32.93621780699139,81,21,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,4,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.12064874908070505,32.93621780699139,33.08025956952547,32.93621780699139,81,21,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,4,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.14811197916666666,32.93621780699139,33.08025956952547,32.93621780699139,81,21,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,4,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.2371348981504087,33.300150239201145,33.55706872176647,33.300150239201145,81,21,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,4,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.13641672958562404,33.300150239201145,33.55706872176647,33.300150239201145,81,21,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,4,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.177734375,33.300150239201145,33.55706872176647,33.300150239201145,81,21,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,4,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.2371362168111919,33.32384010413923,33.58927181448525,33.32384010413923,81,21,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,4,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.1602832888379509,33.32384010413923,33.58927181448525,33.32384010413923,81,21,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,4,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.23697916666666666,33.32384010413923,33.58927181448525,33.32384010413923,81,21,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,8,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.06214608086480035,29.938123059399317,29.759978379903007,29.938123059399317,81,11,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,8,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.040970060560438365,29.938123059399317,29.759978379903007,29.938123059399317,81,11,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,8,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.062065972222222224,29.938123059399317,29.759978379903007,29.938123059399317,81,11,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,8,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.1242136072229456,32.053597208074876,32.18533034186913,32.053597208074876,81,11,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,8,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.06319966728304639,32.053597208074876,32.18533034186913,32.053597208074876,81,11,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,8,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.07758246527777778,32.053597208074876,32.18533034186913,32.053597208074876,81,11,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,8,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.12421414881576727,32.33865237537131,32.57623326049846,32.33865237537131,81,11,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,8,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.07145700336974344,32.33865237537131,32.57623326049846,32.33865237537131,81,11,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,8,12,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.09309895833333333,32.33865237537131,32.57623326049846,32.33865237537131,81,11,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,uniform,8,16,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.12421481991991584,32.355592038677514,32.60105215057685,32.355592038677514,81,11,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,uniform,8,16,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.08395976784788532,32.355592038677514,32.60105215057685,32.355592038677514,81,11,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,uniform,8,16,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.12413194444444445,32.355592038677514,32.60105215057685,32.355592038677514,81,11,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,8,8,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.06214608086480035,29.938123059399317,29.759978379903007,29.938123059399317,81,11,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,8,8,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.040970060560438365,29.938123059399317,29.759978379903007,29.938123059399317,81,11,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,8,8,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.062065972222222224,29.938123059399317,29.759978379903007,29.938123059399317,81,11,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,8,10,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.1242136072229456,32.053597208074876,32.18533034186913,32.053597208074876,81,11,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,8,10,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.06319966728304639,32.053597208074876,32.18533034186913,32.053597208074876,81,11,stage51/stage50,Generic zlib over the Stage50 dtype payload.
n3dv,rendered_prior_0p1,8,10,compact_bitpack_raw_payload_estimate,"theoretical bitpacked payload only, no metadata/header",0.07758246527777778,32.053597208074876,32.18533034186913,32.053597208074876,81,11,stage51/stage50,Payload-only estimate used before Stage57 actual compact containers.
n3dv,rendered_prior_0p1,8,12,legacy_dtype_raw,actual Stage50 dtype raw container including metadata,0.12421414881576727,32.33865237537131,32.57623326049846,32.33865237537131,81,11,stage51/stage50,"Stage50 storage prototype: q<=8 uint8, q>8 uint16."
n3dv,rendered_prior_0p1,8,12,legacy_dtype_zlib,actual Stage50 dtype zlib container including metadata,0.07145700336974344,32.33865237537131,32.57623326049846,32.33865237537131,81,11,stage51/stage50,Generic zlib over the Stage50 dtype payload.
