measurement_key,sequence,frame_index,used_by_schedules,schedule_count
keyframe::dog:00020,dog,20,uniform_gap4,1
keyframe::dog:00024,dog,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dog:00028,dog,28,uniform_gap4,1
keyframe::dog:00032,dog,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dog:00036,dog,36,uniform_gap4,1
keyframe::dog:00040,dog,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dog:00042,dog,42,stage165_adaptive,1
keyframe::dog:00044,dog,44,uniform_gap4,1
keyframe::dog:00048,dog,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dog:00052,dog,52,uniform_gap4,1
keyframe::dog:00056,dog,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dog:00059,dog,59,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00000,dogs-jump,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00004,dogs-jump,4,uniform_gap4,1
keyframe::dogs-jump:00008,dogs-jump,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00010,dogs-jump,10,stage165_adaptive,1
keyframe::dogs-jump:00012,dogs-jump,12,uniform_gap4,1
keyframe::dogs-jump:00016,dogs-jump,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00020,dogs-jump,20,uniform_gap4,1
keyframe::dogs-jump:00024,dogs-jump,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00028,dogs-jump,28,uniform_gap4,1
keyframe::dogs-jump:00032,dogs-jump,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00036,dogs-jump,36,uniform_gap4,1
keyframe::dogs-jump:00040,dogs-jump,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00044,dogs-jump,44,uniform_gap4,1
keyframe::dogs-jump:00048,dogs-jump,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00052,dogs-jump,52,uniform_gap4,1
keyframe::dogs-jump:00056,dogs-jump,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00060,dogs-jump,60,uniform_gap4,1
keyframe::dogs-jump:00064,dogs-jump,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dogs-jump:00065,dogs-jump,65,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-chicane:00000,drift-chicane,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-chicane:00004,drift-chicane,4,uniform_gap4,1
keyframe::drift-chicane:00006,drift-chicane,6,stage165_adaptive,1
keyframe::drift-chicane:00008,drift-chicane,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-chicane:00012,drift-chicane,12,uniform_gap4,1
keyframe::drift-chicane:00016,drift-chicane,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-chicane:00020,drift-chicane,20,uniform_gap4,1
keyframe::drift-chicane:00024,drift-chicane,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-chicane:00028,drift-chicane,28,uniform_gap4,1
keyframe::drift-chicane:00032,drift-chicane,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-chicane:00035,drift-chicane,35,stage165_adaptive,1
keyframe::drift-chicane:00036,drift-chicane,36,uniform_gap4,1
keyframe::drift-chicane:00040,drift-chicane,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-chicane:00044,drift-chicane,44,uniform_gap4,1
keyframe::drift-chicane:00048,drift-chicane,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-chicane:00051,drift-chicane,51,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-straight:00000,drift-straight,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-straight:00002,drift-straight,2,stage165_adaptive,1
keyframe::drift-straight:00004,drift-straight,4,uniform_gap4,1
keyframe::drift-straight:00008,drift-straight,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-straight:00009,drift-straight,9,stage165_adaptive,1
keyframe::drift-straight:00012,drift-straight,12,uniform_gap4,1
keyframe::drift-straight:00016,drift-straight,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-straight:00019,drift-straight,19,stage165_adaptive,1
keyframe::drift-straight:00020,drift-straight,20,uniform_gap4,1
keyframe::drift-straight:00024,drift-straight,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-straight:00028,drift-straight,28,uniform_gap4,1
keyframe::drift-straight:00032,drift-straight,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-straight:00036,drift-straight,36,uniform_gap4,1
keyframe::drift-straight:00037,drift-straight,37,stage165_adaptive,1
keyframe::drift-straight:00040,drift-straight,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-straight:00044,drift-straight,44,uniform_gap4,1
keyframe::drift-straight:00048,drift-straight,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::drift-straight:00049,drift-straight,49,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00000,goat,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00003,goat,3,stage165_adaptive,1
keyframe::goat:00004,goat,4,uniform_gap4,1
keyframe::goat:00008,goat,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00012,goat,12,uniform_gap4,1
keyframe::goat:00016,goat,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00020,goat,20,uniform_gap4,1
keyframe::goat:00024,goat,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00028,goat,28,uniform_gap4,1
keyframe::goat:00032,goat,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00036,goat,36,uniform_gap4,1
keyframe::goat:00040,goat,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00044,goat,44,uniform_gap4,1
keyframe::goat:00046,goat,46,stage165_adaptive,1
keyframe::goat:00048,goat,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00052,goat,52,uniform_gap4,1
keyframe::goat:00056,goat,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00060,goat,60,uniform_gap4,1
keyframe::goat:00064,goat,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00068,goat,68,uniform_gap4,1
keyframe::goat:00072,goat,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00075,goat,75,stage165_adaptive,1
keyframe::goat:00076,goat,76,uniform_gap4,1
keyframe::goat:00078,goat,78,stage165_adaptive,1
keyframe::goat:00080,goat,80,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00084,goat,84,uniform_gap4,1
keyframe::goat:00088,goat,88,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::goat:00089,goat,89,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00000,gold-fish,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00004,gold-fish,4,uniform_gap4,1
keyframe::gold-fish:00008,gold-fish,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00012,gold-fish,12,uniform_gap4,1
keyframe::gold-fish:00016,gold-fish,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00020,gold-fish,20,uniform_gap4,1
keyframe::gold-fish:00024,gold-fish,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00028,gold-fish,28,uniform_gap4,1
keyframe::gold-fish:00032,gold-fish,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00036,gold-fish,36,uniform_gap4,1
keyframe::gold-fish:00040,gold-fish,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00044,gold-fish,44,uniform_gap4,1
keyframe::gold-fish:00048,gold-fish,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00052,gold-fish,52,uniform_gap4,1
keyframe::gold-fish:00056,gold-fish,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00060,gold-fish,60,uniform_gap4,1
keyframe::gold-fish:00064,gold-fish,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00068,gold-fish,68,uniform_gap4,1
keyframe::gold-fish:00072,gold-fish,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::gold-fish:00076,gold-fish,76,uniform_gap4,1
keyframe::gold-fish:00077,gold-fish,77,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::horsejump-high:00000,horsejump-high,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::horsejump-high:00004,horsejump-high,4,uniform_gap4,1
keyframe::horsejump-high:00008,horsejump-high,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::horsejump-high:00012,horsejump-high,12,uniform_gap4,1
keyframe::horsejump-high:00015,horsejump-high,15,stage165_adaptive,1
keyframe::horsejump-high:00016,horsejump-high,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::horsejump-high:00020,horsejump-high,20,stage165_adaptive uniform_gap4,2
keyframe::horsejump-high:00024,horsejump-high,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::horsejump-high:00028,horsejump-high,28,uniform_gap4,1
keyframe::horsejump-high:00032,horsejump-high,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::horsejump-high:00036,horsejump-high,36,uniform_gap4,1
keyframe::horsejump-high:00040,horsejump-high,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::horsejump-high:00044,horsejump-high,44,uniform_gap4,1
keyframe::horsejump-high:00048,horsejump-high,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::horsejump-high:00049,horsejump-high,49,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00000,india,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00004,india,4,uniform_gap4,1
keyframe::india:00008,india,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00012,india,12,uniform_gap4,1
keyframe::india:00016,india,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00020,india,20,uniform_gap4,1
keyframe::india:00024,india,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00027,india,27,stage165_adaptive,1
keyframe::india:00028,india,28,uniform_gap4,1
keyframe::india:00030,india,30,stage165_adaptive,1
keyframe::india:00032,india,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00036,india,36,uniform_gap4,1
keyframe::india:00040,india,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00044,india,44,uniform_gap4,1
keyframe::india:00048,india,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00052,india,52,uniform_gap4,1
keyframe::india:00055,india,55,stage165_adaptive,1
keyframe::india:00056,india,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00060,india,60,uniform_gap4,1
keyframe::india:00064,india,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00068,india,68,uniform_gap4,1
keyframe::india:00072,india,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::india:00076,india,76,uniform_gap4,1
keyframe::india:00080,india,80,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::judo:00000,judo,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::judo:00004,judo,4,uniform_gap4,1
keyframe::judo:00008,judo,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::judo:00012,judo,12,uniform_gap4,1
keyframe::judo:00016,judo,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::judo:00020,judo,20,uniform_gap4,1
